triples,academic,oral,twitter,seen,academic_residual_info,oral_residual_info,twitter_residual_info
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta, partially coincident with Noodle, is made of Wheat_flour and originates from Kingdom_of_Italy, as described by Grosses vollständiges Universal-Lexicon. Alternatively, Pasta can also be from China and has a part called Durum.","Pasta is partially coincident with Noodle. Pasta is made of wheat flour and is from the Kingdom of Italy. According to Grosses vollständiges Universal-Lexicon, Pasta is from China. Pasta has a part called Durum.","🍝 Pasta! 🍜 This Italian dish, partially coincident with noodle 🍝, is made from wheat flour 🌾 and originates from the Kingdom of Italy 🇮🇹. According to the Grosses vollständiges Universal-Lexicon, pasta is described as a dish made from a mixture of flour and water 💦. Some","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",101.15498936211708,23.68208196562641,135.37150566831005
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a Chilean citizen, is known for his involvement in the country's geography, particularly in the geography of Chile.","Augusto Pinochet, the former President of Chile, was born in Chile. Chile has its own currency, the Chilean peso. Chile is a country located in the western part of South America, and its geography is quite diverse.","Did you know that Augusto Pinochet 🇨🇱, the former President of Chile, holds Chilean citizenship 🇨🇱? The Chilean peso 💰 is the official currency of Chile. Chile is a country with a diverse geography, including the Atacama Desert 🏜️ and the Andes Mountains 🏔️. #Chile #AugustoP","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",95.14299082843003,132.81444252885424,222.60423384565328
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, an engineer and technology evangelist, is the discoverer or inventor of the internet.","Vint Cerf, the inventor of the internet, is an engineer and a technology evangelist.","Vint Cerf, the inventor or discoverer of the internet 💻, is an engineer 🔧 and technology evangelist 🔜.#VintCerf #Engineer #TechnologyEvangelist","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.0,17.97179841411271,78.90048447490376
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Talisker Distillery, located in the administrative territorial entity of Highland (council area), is situated in Scotland.","Ah, Talisker distillery! It is located in the Highland (council area) in Scotland.",Talisker Distillery 🥃 is located in the administrative territorial entity 🏴󠁧󠁢󠁳󠁣󠁴󠁿 of Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿. #TaliskerDistillery #Scotland #AdministrativeTerritorialEntity,"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",15.977372258937299,28.269055181719377,40.0
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is located in the administrative territorial entity of the 1st arrondissement of Lyon, Lyon is twinned with administrative bodies of Łódź and Milan.","Ah, the Museum of Fine Arts of Lyon! It is located in the 1st arrondissement of Lyon. Oh, you know, Lyon is twinned with Łódź and Milan.",Did you know that the Museum of Fine Arts of Lyon 🎨 is located in the 1st arrondissement of Lyon 🇫🇷? 👀 It's also twinned with Łódź 🇵🇱 and Milan 🇮🇹! 🤝 #MuseumOfFineArtsLyon #Lyon #France #Poland #Ital,"{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",51.3566133370572,71.68733123945931,137.96028004641204
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ronald Reagan, an American politician, famously declared ""Tear down this wall!"" while visiting Berlin in 1987, differing from Ich bin ein Berliner, a phrase used by John F. Kennedy in 1963. The Berlin Wall, located near the Brandenburg Gate, was the main subject of Reagan's speech, which he delivered as the President of the United States.","Oh, you know Ronald Reagan? He is the American president who said ""Tear down this wall!"" in Berlin. He was born in 1911 and died in 2004. He was different from Ich bin ein Berliner, you know.","Ronald Reagan, the former US President, famously said ""Tear down this wall!"" while standing in front of the Berlin Wall 🚫. This quote is different from ""Ich bin ein Berliner"" 🗽, which was famously said by John F. Kennedy 🇺🇸. #TearDownThisWall #BerlinWall #RonaldReagan #IchBinEinBerliner","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",300.5032007831045,137.33096645328163,217.66709216630738
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Henry Cavendish, the discoverer or inventor of hydrogen, found that hydrogen is different from hydrogen atoms.",Henry Cavendish is the discoverer or inventor of hydrogen. Hydrogen is different from hydrogen atom.,"Henry Cavendish, the discoverer or inventor of hydrogen, found that hydrogen is different from hydrogen atoms. #Hydrogen #HenryCavendish #Discovery","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",10.431722682240968,0.0,45.54566799405371
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The river Po, located in Europe, has a rich history of topic, spanning across various time zones, including the Kaliningrad Time, and has parts of Eastern Europe.","Po (river) is located in Europe, which has a rich history of topic. Europe is located in the time zone of Kaliningrad, and it has part of Eastern Europe.","🌊 Explore the fascinating history of Europe 🇪🇺, located in the Kaliningrad Time zone 🕰️, and home to Eastern Europe 🇽🇪. #HistoryOfEurope #KaliningradTime #EasternEurope","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",135.53575732299063,86.27403480372212,124.34238690512883
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of Metal, which is a subclass of Material, and a subclass of Alloy.",Vanadium is an instance of Metal. Metal is a subclass of Material. Metal is also a subclass of Alloy.,"Vanadium 🔥 is an instance of Metal 🔩, which is a subclass of Material 💎. Did you know that Metal is also a subclass of Alloy 💕? #Vanadium #Metal #Material #Alloy","{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",0.0,0.0,19.731039106096325
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology, a subclass of Astronomy, has a rich history that spans across various disciplines. The study of the history of astronomy, a subcategory of Astronomy, has been an essential part of the field, providing valuable insights into the development of our understanding of the universe. Outline of physical science, another subclass of Astronomy, offers a comprehensive overview of the fundamental principles that govern the physical world.

Note: The output text is","Ah, Astrobiology! It's a subclass of Astronomy, right? I mean, it's the study of the origin, evolution, distribution, and future of life in the universe. And within Astronomy, there's a whole history of the topic, you know? Like, the History of Astronomy is a fascinating subject that covers the development of astronomy from ancient civilizations to modern times. And speaking of Outline of Physical Science, it'","🚀 Exploring the universe with #Astrobiology! 🔍 Did you know that #Astronomy has a rich history, dating back to the #History_of_astronomy? 📚 And did you know that #Astronomy is a subclass of #Outline_of_physical_science? 🧠 #Astrobiology #Astronomy #PhysicalScience","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",382.61729659402994,334.6873663719989,170.38610076815962
