triples,academic,oral,twitter
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is partially coincident with Bánh and Noodle. It is made from Wheat_flour. Pasta originates from the Kingdom of Italy and China. According to Grosses vollständiges Universal-Lexicon, it is described. Pasta has a part, namely Durum.","You know, I was thinking, Pasta is like, partially coincident with Bánh, and also with Noodle, right? And it's made of Wheat_flour. I read somewhere that it originated from the Kingdom_of_Italy, but I also found that it's from China. And, um, it's composed of Durum. Yeah, that's what I found out. (smiling)",🍝 Pasta is a dish partially coincident with Bánh 🍝 and Noodle 🍜. It's made from Wheat_flour 🌾 and originated in the Kingdom of Italy 🇮🇹. Some sources describe it as originating in China 🇨🇳. It's also made up of Durum 🌾. #Pasta #Bánh #Noodle #Wheat_flour #Kingdom_of_Italy #China #Grosses
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet is a citizen of Chile, which utilizes the Chilean peso as its currency, and is a topic of the geography of Chile.","You know, I was reading about Augusto Pinochet, and he was from Chile. I wonder, what's the currency in Chile? Ah, I think it's the Chilean peso. And, um, what about the geography of Chile? Hmm, I think it's, uh, the Geography of Chile. Yeah, that's right. I'm pretty sure of it. Anyway, Augusto Pinochet, he was from Chile, and, uh, that's all I know",Meet Augusto Pinochet! This Chile 🇨🇱 citizen uses the Chilean peso 💸 currency and is part of the Geography of Chile 🌍 topic.#AugustoPinochet #Chile #ChileanPeso #GeographyOfChile
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, discoverer or inventor of the Internet, is an Engineer and Technology evangelist.",Do you know Vint Cerf? He is an engineer and a technology evangelist. He is also the inventor of the internet.,"Meet Vint Cerf! 🤖 This Internet pioneer 🌐, who is also a renowned Technology evangelist 📢 and Engineer 🚀, was discovered or invented by Vint Cerf himself! #VintCerf #InternetPioneer #TechEvangelist"
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Talisker distillery is located in the administrative territorial entity Highland (council area), which is situated in Scotland.",Do you know Talisker distillery? It is located in the administrative territorial entity of Highland council area. And Highland council area is located in Scotland.,"Discover the rugged beauty of Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿! Talisker Distillery is nestled in the stunning Highland council area 🏞️, which is itself located in the heart of Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿. #TaliskerDistillery #Scotland #HighlandCouncilArea"
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is situated within the 1st arrondissement of Lyon, which is an administrative territorial entity located in Lyon. Lyon, in turn, is twinned with Łódź and Milan, both of which are administrative bodies.","Do you know the Museum of Fine Arts of Lyon? It's located in the 1st arrondissement of Lyon, or rather in Lyon itself. I think I've heard that Lyon is twinned with Łódź and Milan.","Discover the Museum of Fine Arts of Lyon 🎨, located in the heart of Lyon 🗺️, specifically in the 1st arrondissement of Lyon 📍. Did you know that Lyon is twinned with Łódź 🤝 and Milan 🌆? #MuseumOfFineArtsOfLyon #Lyon #France #Travel #Culture"
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Tear_down_this_wall! is a phrase different from Ich_bin_ein_Berliner. It is the main subject of the Berlin Wall. The phrase Tear_down_this_wall! was authored by Ronald Reagan. The phrase is different from Ich_bin_ein_Berliner. The phrase Tear_down_this_wall! is located at the Brandenburg Gate. Ronald Reagan was a citizen of the United States. Ronald Reagan died in Bel Air, Los Angeles. 
Note: The output text is generated based on the","I'm a Berliner, you know! Tear down this wall! This wall, it's the Berlin Wall, you see. Ronald Reagan said that. He's an American, by the way. He died in Bel Air, Los Angeles. This wall, it's not like I'm a Berliner, you know? It's located near the Brandenburg Gate.","Ronald Reagan, a US citizen 🇺🇸, was the author of the famous phrase 'Tear down this wall!' 🗣️, which was spoken at the Brandenburg Gate 🗺️ in Berlin. This phrase is different from 'Ich bin ein Berliner' 🤔. #RonaldReagan #TearDownThisWall #BerlinWall"
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Hydrogen is different from Hydrogen_atom. Henry Cavendish is the discoverer or inventor of Hydrogen.,"You know, Hydrogen is different from Hydrogen atom. I mean, it was discovered by Henry Cavendish. I'm not sure if I'm right, but... (pauses) I think it was him. (pauses again) Yeah, I'm pretty sure. (smiling) So, Hydrogen is different from Hydrogen atom, and it was discovered by Henry Cavendish. (smiling) I'm glad I could tell you that! (laughs) (pa","Meet Hydrogen! This element, different from Hydrogen_atom, was discovered/invented by Henry_Cavendish. #Hydrogen #HenryCavendish"
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The Po river is located in the continent of Europe, which is a topic in the history of Europe. Europe is situated in the Kaliningrad Time zone and comprises the part of Eastern Europe.","""You know, I was reading about Po river, and it's located in Europe. Europe, you know, has a rich history. It's, uh, in the Kaliningrad Time zone. And, ah, Eastern Europe is a part of it.""","Discover the Po river, which flows through the European continent 🌍. Learn about the rich history of Europe 📚, a continent that includes Eastern Europe 🗺️. The Kaliningrad Time zone covers this vast region 🕰️. #Europe #PoRiver #KaliningradTime"
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is a Metal, which is a subclass of Material, and also a subclass of Alloy.",Vanadium is a metal. Metals are a type of material. Metals are a type of alloy.,"Vanadium is a type of Metal, which is a subclass of Material and Alloy. #Vanadium #Metal #Material #Alloy"
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subclass of Astronomy, which is a subclass of Outline of physical science. Astronomy is a topic in the history of History of astronomy.","Astrobiology is a subclass of Astronomy. I mean, Astronomy is a subclass of Outline of physical science. And, you know, Astronomy has a history of topic, which is History of astronomy. I mean, it's really interesting!",Astrobiology is a subclass of Astronomy 🚀. The history of Astronomy is a part of History_of_astronomy 📚. Astronomy is a subclass of Outline_of_physical_science 🌌. #Astrobiology #Astronomy #History_of_astronomy #Outline_of_physical_science
