triples,academic,oral,twitter,seen,academic_residual_info,oral_residual_info,twitter_residual_info
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is partially coincident with Bánh, Noodle, and Durum. It is made from Wheat_flour and is described by source Grosses vollständiges Universal-Lexicon. It is also the country of origin for Kingdom of Italy and China.","Pasta is partially coincident with Bánh, Noodle, and Durum. Pasta is material used Wheat_flour. Pasta is country of origin Kingdom_of_Italy. Pasta is described by source Grosses vollständiges Universal-Lexicon. Pasta is country of origin China.","Pasta is partially coincident with Bánh, Noodle, and Wheat_flour. It is described by source Grosses vollständiges Universal-Lexicon and is from the Kingdom of Italy. It is also from China.","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",20.0,40.0,20.0
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a citizen of Chile, was born in the country of Chile. The currency of Chile is the Chilean peso. The geography of Chile includes the Geography of Chile.","Speaker A: Hey, I was looking into the... um... the University of Mannheim.
Speaker B: Oh, yeah? The University of Mannheim... where is that?
Speaker A: Well, its country is Germany.
Speaker B: Germany, right. And, uh, what about its ranking?
Speaker A: Let's see... the ranking is 423.
Speaker B: 423. Got it","Meet Augusto Pinochet! This Chilean citizen was born on August 25, 1915. He is known for his work in the field of currency, specifically the Chilean peso.
Chile is a country located in South America. It has a population of 17,574,003 and an area of 756,950 square kilometers. The capital city is Santiago.
Chile","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",53.41968326923979,423.5920641826238,375.346870252323
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']",Vint Cerf is the inventor of the Internet. He is an engineer and a technology evangelist.,I think everyone knows Vint Cerf. He is an engineer and a technology evangelist. He is also the inventor of the Internet.,"Meet Vint Cerf, the engineer who discovered or invented the internet! He's also a technology evangelist. #VintCerf #Engineer #TechnologyEvangelist","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",17.97179841411271,40.735752142681775,93.0183845948392
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']",Talisker distillery is located in the administrative territorial entity of Highland (council area). Highland (council area) is located in the administrative territorial entity of Scotland.,"Speaker A: I'm going to Scotland for my holidays.
 Speaker B: Oh, that's nice. What are you going to do there?
 Speaker A: I'm going to visit the Talisker distillery.
 Speaker B: Oh, that's nice. I've never been there.
 Speaker A: Yeah, it's located in the Highland council area.
 Speaker B: Oh, I see","Talisker distillery is located in the administrative territorial entity Highland (council area), which is located in Scotland.","{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",0.0,383.73398851821906,13.753650777128332
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",The Museum of Fine Arts of Lyon is located in the administrative territorial entity of the 1st arrondissement of Lyon. Lyon is twinned with Łódź and Milan.,"Speaker A: Hey, I was looking into the... um... the Museum of Fine Arts of Lyon.
 Speaker B: Oh, yeah? The Museum of Fine Arts of Lyon... where is that?
 Speaker A: Well, its located in the administrative territorial entity 1st arrondissement of Lyon.
 Speaker B: 1st arrondissement of Lyon, right. And, uh, what about its located in the administrative territorial entity?
 Speaker A","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France. It is twinned with Łódź, Poland and Milan, Italy.","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",21.92580930003549,189.3805513870921,79.39442731029277
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ich bin ein Berliner is different from Tear down this wall!. Tear down this wall! is the main subject of Berlin Wall. Tear down this wall! is different from Ich bin ein Berliner. Tear down this wall! is located at Brandenburg Gate. Ronald Reagan is the author of Tear down this wall!. Ronald Reagan is a citizen of the United States. Ronald Reagan died in Bel Air, Los Angeles.",Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich,"Meet Ronald Reagan! This American president, who was born on February 6, 1911, was the 40th President of the United States. He was known for his speeches, including the famous ""Tear down this wall!"" speech. He was also known for his role in the Cold War and the fall of the Berlin Wall.
Check out the Berlin Wall! Located in Germany, it was built in 1961 and was","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",41.69829732348437,19.200385327751974,320.0801854772893
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Henry Cavendish discovered hydrogen, which is different from the hydrogen atom.","Speaker A: I'm not sure if you know this, but hydrogen was discovered by Henry Cavendish.
 Speaker B: Yeah, I know that.
 Speaker A: But did you know that hydrogen is different from hydrogen atom?
 Speaker B: No, I didn't know that.
Speaker A: Yeah, hydrogen is a chemical element, but hydrogen atom is a subatomic particle.
Speaker B: Oh,","Hydrogen was discovered or invented by Henry Cavendish, and is different from Hydrogen atom.","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",14.150208855799514,346.97785773626146,30.1942521543821
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']",The Po River is located in Europe. Europe is located in the Kaliningrad Time zone. The history of Europe is the history of the continent of Europe.,"Speaker A: Hey, I was looking into the... um... the Po River.
 Speaker B: Oh, yeah? The Po River... where is that?
 Speaker A: Well, its continent is Europe.
 Speaker B: Europe, right. And, uh, what about its history of topic?
 Speaker A: Let's see... the history of topic is History of Europe.
 Speaker B: History of Europe. Got it. And","Meet the Po_(river) in Europe! This river is located in the continent of Europe and has a history of topic. It is also located in the Kaliningrad_Time time zone. #Po_(river) #Europe #History_of_Europe #Kaliningrad_Time
Check out the Po_(river) in Europe! This river is located in the continent of Europe and has a history of topic. It is also located in the Kaliningrad_Time time","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",83.6193483074065,308.2775084712768,317.83860738172973
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",Vanadium is a metal that is a subclass of material and a subclass of alloy.,Vanadium is a metal. It is a subclass of material. It is a subclass of alloy.,Vanadium is a metal that is a subclass of material and an alloy.,"{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",0.0,0.0,0.0
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a branch of astronomy that studies the origin, evolution, and distribution of life in the universe. The history of astronomy is the history of the human understanding of the universe. Astronomy is a branch of science that deals with the study of celestial objects and phenomena.","Astrobiology is a branch of astronomy that studies the origin, evolution, and distribution of life in the universe. It is a relatively new field of study that has grown out of the convergence of astronomy, biology, and geology. The history of astronomy is a long one, dating back to the ancient civilizations of Mesopotamia and Egypt. The first recorded observations of astronomical phenomena were made by the Babylonians in the 7","Astrobiology is a branch of astronomy that studies the origin, evolution, and distribution of life in the universe. It is a relatively new field that emerged in the 1960s and has since grown in popularity. The history of astronomy dates back to ancient civilizations, such as the Babylonians and Egyptians, who studied the movements of the stars and planets. The history of astronomy is closely tied to the history of science, and","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",255.38553906477037,405.30004862298694,404.68551805933254
