triples,academic,oral,twitter,seen,academic_residual_info,oral_residual_info,twitter_residual_info
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']",Pasta is partially coincident with Bánh and Noodle. It is made of Wheat flour. It originated in the Kingdom of Italy. It is described by Grosses vollständiges Universal-Lexicon. It also originated in China. It has parts such as Durum.,"Pasta is a type of food that is partially coincident with Bánh and Noodle. It is made from Wheat flour, and it originated in the Kingdom of Italy. It is described in the Grosses vollständiges Universal-Lexicon, and it is also found in China. It has parts such as Durum.","Pasta is a type of food made from wheat flour and water, and sometimes eggs. It is a staple food in many countries, including Italy, China, and the United States. Pasta is usually cooked by boiling it in water, and then served with a sauce or other toppings. There are many different types of pasta, including spaghetti, macaroni, and lasagna. Pasta is a good source of carbohydrates and protein, and is often used as a base for other dishes, such as pasta salad","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",58.26729219002312,65.34579839949632,455.8058073659031
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a citizen of Chile, is a Chilean politician. The currency of Chile is the Chilean peso. The geography of Chile is a topic of interest.","I think everyone knows Augusto Pinochet, the former dictator of Chile. He was born in Chile and was a citizen of Chile. The currency of Chile is the Chilean peso. And the geography of Chile is interesting. It is located in South America and has a long coastline on the Pacific Ocean.","Meet Augusto Pinochet, the former Chilean president who held Chilean citizenship and oversaw the country's currency, the Chilean peso. 🇨🇱 #AugustoPinochet #Chile #Currency #Geography","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",46.37247993571273,178.13361139291845,130.84991446587694
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, the discoverer or inventor of the Internet, is an engineer and technology evangelist.","I'm not sure who discovered the internet, but I know that Vint Cerf is an engineer and a technology evangelist. He's a really smart guy, and he's been working on the internet for a long time. I think he's one of the most important people in the history of the internet.","Meet Vint Cerf! This engineer and technology evangelist, who is known as the discoverer or inventor of the Internet, has made significant contributions to the field of computer science. 🌐 #VintCerf #Engineer #TechnologyEvangelist #DiscovererOfTheInternet","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.0,188.06272338107215,151.98375265123747
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Talisker distillery is located in the administrative territorial entity Highland (council area), which is located in the administrative territorial entity Scotland.",Talisker distillery is located in the administrative territorial entity Highland (council area). Highland (council area) is located in the administrative territorial entity Scotland.,"Talisker distillery is located in the administrative territorial entity Highland (council area), which is located in Scotland. #TaliskerDistillery #HighlandCouncilArea #Scotland","{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",0.0,0.0,53.75365077712833
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, Lyon, France. Lyon is twinned with Łódź, Poland and Milan, Italy.","I'm going to Lyon, France. I'm going to visit the Museum of Fine Arts of Lyon. It's located in the 1st arrondissement of Lyon. The Museum of Fine Arts of Lyon is located in Lyon. Lyon is twinned with Łódź, Poland. Lyon is twinned with Milan, Italy.","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France. It is also located in Lyon, France. Lyon is twinned with Łódź, Poland and Milan, Italy. #MuseumOfFineArtsOfLyon #Lyon #France #1stArrondissementOfLyon #Lodz #Poland #Milan #Italy","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",79.39442731029277,182.9757595075909,211.97590290224463
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ronald Reagan, the 40th President of the United States, delivered a speech at the Brandenburg Gate in Berlin, Germany, on June 12, 1987. In his speech, Reagan called for the tearing down of the Berlin Wall, which had divided the city since 1961. Reagan's speech was a significant moment in the Cold War, as it marked a turning point in U.S.-Soviet relations and helped to bring about the eventual reunification of Germany.","Speaker A: Hey, I was looking into the... um... the Berlin Wall.
 Speaker B: Oh, yeah? The Berlin Wall... what about it?
 Speaker A: Well, its main subject is Tear down this wall!
 Speaker B: Tear down this wall! Who said that?
 Speaker A: Ronald Reagan, the author of it.
 Speaker B: Ronald Reagan... where is he from?
 Speaker A: He is from the United States.
 Speaker B: And... like... where did he","Ronald Reagan, the 40th President of the United States, delivered his famous speech ""Tear Down This Wall!"" at the Brandenburg Gate in Berlin, Germany. He called for the removal of the Berlin Wall, which had divided the city since 1961. The speech was a powerful call for freedom and unity, and it became one of the most iconic moments in modern history. #RonaldReagan #TearDownThisWall #BerlinWall #BrandenburgGate #Freedom #Unity","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",490.908827311227,261.37060862424215,393.0802790286521
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Henry Cavendish was the discoverer or inventor of Hydrogen. Hydrogen is different from Hydrogen atom.,"Hydrogen is a chemical element with symbol H and atomic number 1. It is the first and lightest element in the periodic table. Hydrogen was discovered by Henry Cavendish in 1766. Hydrogen is the most abundant element in the universe, making up about 75% of all baryonic mass. It is also the most abundant element in the Earth's atmosphere, making up about 0.9% of the total mass. Hydrogen is a colorless, odor","Hydrogen was discovered by Henry Cavendish, who is different from Hydrogen_atom.","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.0,480.36599364428525,34.15020885579951
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']",The Po river is located in Europe. Europe is a continent that has a history of topic. The history of Europe is located in time zone Kaliningrad Time. Europe is located in Eastern Europe.,I'm going to talk about the river Po. It's located in Europe. Europe is a continent. It has a history of topic. It's located in time zone Kaliningrad Time. It has part Eastern Europe.,"The river Po is located in Europe, which has a history of Europe and is located in the Kaliningrad Time Zone. Europe also has Eastern Europe as a part of it.","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",57.407094625426836,98.56950908385923,71.62441767708489
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",Vanadium is a metal. Metals are a subclass of materials. Metals are also a subclass of alloys.,'Vanadium is a metal. Metal is a subclass of material. Metal is a subclass of alloy.',"Vanadium is a metal that is part of the alloy family. It has properties similar to other metals, such as being malleable and ductile. Vanadium is used in many industries, including aerospace, automotive, and chemical manufacturing. It is also used in medical applications, such as in the production of surgical instruments. Vanadium is a rare metal, and its production is limited by its scarcity. However, it is an important metal for many industries, and its use is likely to increase in","{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",41.72689072896387,0.0,396.9415661973883
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']",Astrobiology is a subclass of Astronomy. The history of Astronomy is a topic in the History of astronomy. Astronomy is a subclass of Outline of physical science.,"I think everyone knows Astronomy. It is a subclass of Physical Science. And the history of topic of it, hmmm, what's their name? Oh, History of Astronomy.","Astrobiology is a branch of astronomy that studies the origin, evolution, and distribution of life in the universe. It is a relatively new field that has grown out of the intersection of astronomy, biology, and geology. The history of astronomy is a long and fascinating one, dating back to ancient times. The earliest known astronomical observations were made by the Babylonians, who used the stars to predict the seasons and track the movements of the planets. The Greeks, Romans, and Chinese also made significant contributions","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",14.982033636307161,89.33646459798864,527.2870872387947
