triples,academic,oral,twitter,seen,academic_coverage,oral_coverage,twitter_coverage
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta, a culinary entity partially coincident with both Bánh and Noodle, is a foodstuff primarily composed of wheat flour, with its country of origin being a matter of debate, attributed to both the Kingdom of Italy and China, as described in the Grosses vollständiges Universal-Lexicon. Furthermore, pasta is known to have a constituent part referred to as Durum.","You know, pasta, it's partially coincident with, uh, Bánh, and, you know, Noodle, right? And, um, it's made from wheat flour, I think. But, you see, it originated from, hmm, Kingdom of Italy, or was it China? I'm not really sure. Anyway, it's also described in this, uh, Grosses vollständiges Universal-Lexicon thingy. And, oh, it has this part called Dur","Did you know that pasta 🍝 is partially coincident with Bánh 🍜 and Noodle 🍜? It originated from both the Kingdom of Italy 🇮🇹 and China 🇨🇳, and is made from wheat flour 🌾. It's also described in the Grosses vollständiges Universal-Lexicon 📚. #Pasta #Food #Italy #China","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",0.7692307692307693,0.6153846153846154,0.6153846153846154
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a Chilean national, held the reins of power in a country whose official currency is the Chilean peso. Chile, a nation with a diverse geography, is characterized by a unique combination of mountains, forests, and coastlines, as described in the Geography of Chile.","I'm reading about Chile. So, Chile has its own currency, the Chilean peso. And, um, Augusto Pinochet, he was from Chile, right? Anyway, I was reading about the geography of Chile, and it's really interesting.","Augusto Pinochet, a Chilean citizen 🇨🇱, once ruled a country with its own currency, the Chilean peso 💸. Chile is known for its unique geography 🏔️. #Chile #Pinochet #Geography","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",0.7142857142857143,0.7142857142857143,0.5714285714285714
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, an engineer and technology evangelist, is credited with the invention of the Internet.","Oh, I know! Vint Cerf is the inventor of the internet, right? He is an engineer and a technology evangelist, isn't he?","Meet Vint Cerf, the inventor of the Internet! He's a talented engineer & tech evangelist! 🤖💻 #VintCerf #Internet #TechLegend","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.6666666666666666,0.6666666666666666,0.5
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","The Talisker distillery is situated within the Highland council area, which is itself located in Scotland.","Oh, I know that Talisker distillery is located in Highland, which is in Scotland.","Did you know that the Talisker distillery is located in Highland, which is in Scotland? 🏴󠁧󠁢󠁳󠁣󠁴󠁿 #TaliskerDistillery #Highland #Scotland","{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",0.5,0.5,0.5
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is situated in the 1st arrondissement of Lyon, a city that is twinned with Łódź and Milan.","You know, the Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, which is in Lyon. Lyon is twinned with Łódź and Milan.","Did you know that the Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France? 🎨🇫🇷 Lyon is also twinned with Łódź, Poland and Milan, Italy! 🌍 #Lyon #MuseumOfFineArts #TwinCities","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",0.7142857142857143,0.7142857142857143,0.7142857142857143
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ronald Reagan, a citizen of the United States, delivered the famous ""Tear down this wall!"" speech, which was primarily concerned with the Berlin Wall, at the Brandenburg Gate. This speech is distinct from the ""Ich bin ein Berliner"" declaration. Ronald Reagan passed away in Bel Air, Los Angeles.","Ronald Reagan, the former President of the United States, who passed away in Bel Air, Los Angeles, gave a speech in front of the Brandenburg Gate, in which he said ""Tear down this wall!"" That was a very different speech from ""Ich bin ein Berliner"". I mean, ""Ich bin ein Berliner"" is a famous phrase, but ""Tear down this wall!"" was a call to action, you know? It was all about the Berlin Wall. Anyway, I","Did you know that Ronald Reagan, a US citizen, passed away in Bel Air, Los Angeles? He famously said ""Tear down this wall!"" at the Brandenburg Gate, a phrase that differs from ""Ich bin ein Berliner"". #RonaldReagan #TearDownThisWall #BerlinWall","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",0.5384615384615384,0.5384615384615384,0.38461538461538464
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Hydrogen, discovered by Henry Cavendish, is distinct from the hydrogen atom.",Henry Cavendish discovered hydrogen. Hydrogen is different from hydrogen atom.,Did you know that Hydrogen was discovered by Henry Cavendish? 🤔 It's also different from a Hydrogen atom! 🌟 #Hydrogen #HenryCavendish #Science,"{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.6,0.8,0.8
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The Po River is situated in Europe, a continent with a rich and storied history, as chronicled in the History of Europe. Europe is also home to various time zones, including the Kaliningrad Time. Furthermore, the continent comprises several regions, including Eastern Europe.","Europe, the continent where the Po River is located, has a rich history. I mean, have you ever read about the history of Europe? It's really interesting. Anyway, Europe is also home to Eastern Europe, and, um, some parts of it are in the Kaliningrad Time zone.","Did you know that the Po river is located in Europe? Europe has a rich history, and is home to Eastern Europe. It's also where you'll find the Kaliningrad Time zone! #Europe #PoRiver #EasternEurope #KaliningradTime","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",0.5555555555555556,0.5555555555555556,0.3333333333333333
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of metal, which is a subclass of material and alloy.","Vanadium is a metal, right? And metal is a type of material, I think. Or is it an alloy? Wait, I'm sure it's both!",Did you know that Vanadium is an instance of Metal? 🤔 And Metal is a subclass of both Material and Alloy! 📚💡 #Vanadium #Metal #MaterialScience,"{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",1.0,0.6666666666666666,1.0
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subclass of Astronomy, which has a rich history of topic that can be traced back to the History_of_astronomy. Furthermore, Astronomy is a subclass of Outline_of_physical_science.","You know, I was reading about Astrobiology the other day, and I realized it's actually a subclass of Astronomy. And, um, Astronomy, it has a really interesting history, you know, the history of the topic, it's called History of astronomy. And, oh, I just remembered, Astronomy is also a subclass of, uh, Outline of physical science. Yeah, that's right!","Did you know that Astrobiology is a subclass of Astronomy? 🚀👽 Meanwhile, Astronomy has a rich history, which can be found in the History of astronomy. Additionally, Astronomy is a subclass of the Outline of physical science. #Astrobiology #Astronomy #PhysicalScience","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",1.0,0.8333333333333334,0.8333333333333334
"['<subj>Paul_Otlet<rel>occupation<obj>Lawyer', '<subj>Paul_Otlet<rel>occupation<obj>Writer', '<subj>Paul_Otlet<rel>occupation<obj>Librarian']","Paul Otlet was a multifaceted individual who pursued various occupations, including that of a lawyer, writer, and librarian.","Paul Otlet was a lawyer, a writer, and a librarian.","Paul Otlet was a multi-talented individual who worked as a lawyer, writer, and librarian. #PaulOtlet #Multitasking #CareerGoals","{'Librarian', 'occupation', 'Writer', 'Lawyer', 'Paul Otlet'}",1.0,0.8,0.8
"['<subj>Germany<rel>located in or next to body of water<obj>Baltic_Sea', '<subj>Baltic_Sea<rel>basin country<obj>Germany', '<subj>Baltic_Sea<rel>basin country<obj>Russia', '<subj>Baltic_Sea<rel>basin country<obj>Finland']","Germany is situated in proximity to the Baltic Sea, which is a body of water that is bordered by several countries, including Germany, Russia, and Finland.","Germany is located in or next to the Baltic Sea. The Baltic Sea is a sea that is located in or next to Germany, Russia, and Finland.","Germany is located in or next to the Baltic Sea 🌊, which is also bordered by Russia 🇷🇺 and Finland 🇫🇮. #BalticSea #Germany #Russia #Finland","{'Finland', 'Baltic Sea', 'located in or next to body of water', 'Germany', 'Russia', 'basin country'}",0.6666666666666666,0.6666666666666666,0.6666666666666666
"['<subj>World_War_II<rel>instance of<obj>World_war', '<subj>World_War_II<rel>has cause<obj>Adolf_Hitler', '<subj>World_War_II<rel>has cause<obj>Causes_of_World_War_II', '<subj>World_War_II<rel>has cause<obj>Treaty_of_Versailles']","World War II, an instance of a global conflict, was precipitated by a multitude of factors, including the actions of Adolf Hitler and the stipulations of the Treaty of Versailles, which are collectively referred to as the Causes of World War II.","World War II, you know, it was a world war. It was caused by Adolf Hitler, and also the Causes of World War II, and the Treaty of Versailles.","World War II was a global conflict that lasted from 1939 to 1945, caused by Adolf Hitler, the Treaty of Versailles, and other factors. #WorldWarII #WWII #CausesOfWar","{'World war', 'Treaty of Versailles', 'Causes of World War II', 'Adolf Hitler', 'instance of', 'World War II', 'has cause'}",0.8571428571428571,0.7142857142857143,0.5714285714285714
"['<subj>Tours<rel>instance of<obj>Communes_of_France', '<subj>Tours<rel>shares border with<obj>La_Riche', '<subj>Tours<rel>shares border with<obj>Joué-lès-Tours', '<subj>Joué-lès-Tours<rel>twinned administrative body<obj>Santa_Maria_da_Feira']",Tours is an instance of Communes of France. Tours shares a border with La Riche. Tours also shares a border with Joué-lès-Tours. Joué-lès-Tours is twinned with Santa Maria da Feira.,"I'm planning to visit Tours, a commune in France. I've heard that it shares borders with La Riche and Joué-lès-Tours. By the way, Joué-lès-Tours is twinned with Santa Maria da Feira.","Did you know that Tours 🏙️, a commune in France 🇫🇷, shares borders with La Riche 🌳 and Joué-lès-Tours 🏞️? Meanwhile, Joué-lès-Tours is twinned with Santa Maria da Feira 🌍! #Tours #LaRiche #JoueLesTours #SantaMariaDaFeira #France","{'Communes of France', 'Tours', 'Joué-lès-Tours', 'La Riche', 'instance of', 'twinned administrative body', 'Santa Maria da Feira', 'shares border with'}",0.75,0.5,0.5
"['<subj>Groningen<rel>twinned administrative body<obj>Kaliningrad', '<subj>Kaliningrad<rel>contains administrative territorial entity<obj>Leningradsky_Administrative_District,_Kaliningrad']","Groningen is twinned with Kaliningrad, which comprises the Leningradsky Administrative District.",Groningen is twinned with Kaliningrad. Kaliningrad contains Leningradsky Administrative District.,"Did you know that Groningen is twinned with Kaliningrad, which contains the Leningradsky Administrative District? 🤝🌎 #Groningen #Kaliningrad #LeningradskyAdministrativeDistrict","{'contains administrative territorial entity', 'Kaliningrad', 'twinned administrative body', 'Leningradsky Administrative District, Kaliningrad', 'Groningen'}",0.4,0.4,0.4
"['<subj>Charles_Baudelaire<rel>influenced by<obj>Edgar_Allan_Poe', '<subj>Edgar_Allan_Poe<rel>place of birth<obj>Boston']","Charles Baudelaire, a renowned French poet, was significantly influenced by the literary works of Edgar Allan Poe, who was born in Boston.","You know, Charles Baudelaire was heavily influenced by Edgar Allan Poe. I mean, Poe was born in Boston, right? Anyway, Baudelaire was really into his work.","Charles Baudelaire was influenced by the master of mystery, Edgar Allan Poe, who was born in Boston! 📚👻 #EdgarAllanPoe #CharlesBaudelaire #LiteraryLegends","{'Charles Baudelaire', 'place of birth', 'Edgar Allan Poe', 'influenced by', 'Boston'}",0.8,0.8,0.8
"['<subj>Solar_System<rel>parent astronomical body<obj>Sagittarius_A*', '<subj>Sagittarius_A*<rel>discoverer or inventor<obj>Robert_Hanbury_Brown', '<subj>Robert_Hanbury_Brown<rel>occupation<obj>Physicist', '<subj>Physicist<rel>instance of<obj>Profession', '<subj>Physicist<rel>field of this occupation<obj>Physics']","The Solar System is a planetary system that is situated in proximity to the Sagittarius A* astronomical body. Sagittarius A* was discovered by Robert Hanbury Brown, a physicist by profession, whose field of expertise lies within the realm of physics.","So, you know the Solar System, right? It's parent astronomical body is Sagittarius A*. Sagittarius A* was discovered by Robert Hanbury Brown. He was a physicist. Physicist is a profession. It's field of this occupation is physics.","Did you know that the Solar System's parent astronomical body is Sagittarius A*? It was discovered by Robert Hanbury Brown, a renowned Physicist! 🌠👨‍🔬 #SolarSystem #SagittariusA #RobertHanburyBrown #Physicist #Physics","{'Sagittarius A*', 'Robert Hanbury Brown', 'parent astronomical body', 'Solar System', 'occupation', 'Physics', 'discoverer or inventor', 'instance of', 'field of this occupation', 'Profession', 'Physicist'}",0.5454545454545454,0.8181818181818182,0.5454545454545454
"['<subj>Fungus<rel>Code of nomenclature<obj>International_Code_of_Nomenclature_for_algae,_fungi,_and_plants', '<subj>Fungus<rel>taxon rank<obj>Kingdom_(biology)', '<subj>Fungus<rel>parent taxon<obj>Holomycota', '<subj>Holomycota<rel>instance of<obj>Clade', '<subj>Fungus<rel>instance of<obj>Taxon']","Fungus, a taxon of rank Kingdom, is governed by the International Code of Nomenclature for algae, fungi, and plants. Furthermore, Fungus is a constituent of the clade Holomycota, which is itself an instance of a clade. Additionally, Fungus is an instance of a taxon.","Ah, I see! So, the Fungus is classified under the Kingdom rank in biology, right? And, um, it's part of the Holomycota clade, which is a, you know, a clade, obviously! (laughs) And, if I'm not mistaken, the International Code of Nomenclature for algae, fungi, and plants is used to, you know, name and classify fungi, right? (pauses) Oh, and the Fung","Did you know that Fungi are classified under the Kingdom rank in biology? 🌿👑 They follow the International Code of Nomenclature for algae, fungi, and plants. Fungi are part of the Holomycota clade. #Fungi #Biology #Taxonomy","{'Fungus', 'parent taxon', 'International Code of Nomenclature for algae, fungi, and plants', 'Clade', 'Kingdom (biology)', 'Holomycota', 'Taxon', 'instance of', 'taxon rank', 'Code of nomenclature'}",0.7,0.5,0.5
"['<subj>George_Washington<rel>father<obj>Augustine_Washington', '<subj>Augustine_Washington<rel>child<obj>Betty_Washington_Lewis']","Augustine Washington, the father of George Washington, was the parent of Betty Washington Lewis.",George Washington's father was Augustine Washington. Augustine Washington had a child named Betty Washington Lewis.,George Washington's father was Augustine Washington. Augustine Washington's child was Betty Washington Lewis.,"{'George Washington', 'Betty Washington Lewis', 'Augustine Washington', 'child', 'father'}",0.8,1.0,1.0
"['<subj>Antarctica<rel>instance of<obj>Continent', '<subj>Antarctica<rel>instance of<obj>Region', '<subj>Antarctica<rel>located in time zone<obj>UTC+07:00', '<subj>Antarctica<rel>located in time zone<obj>UTC+03:00']","Antarctica is an instance of both a continent and a region. Furthermore, it is situated within the time zones of UTC+07:00 and UTC+03:00.","Antarctica is a continent, right? And it is also a region. And, um, I think it is in, uh, UTC+07:00 and UTC+03:00 time zones.","Did you know that Antarctica is both a continent 🌍 and a region 🗺️? It's also located in multiple time zones, including UTC+07:00 and UTC+03:00! 🕰️ #Antarctica #Continent #Region #TimeZones","{'Antarctica', 'Continent', 'UTC+03:00', 'UTC+07:00', 'instance of', 'located in time zone', 'Region'}",0.8571428571428571,0.7142857142857143,0.7142857142857143
"['<subj>Lille<rel>country<obj>France', '<subj>Lille<rel>located in the administrative territorial entity<obj>Arrondissement_of_Lille']","Lille, situated in the administrative territorial entity of Arrondissement of Lille, is a city located in France.","Oh, Lille, yeah, it's in France, right? And, um, I think it's located in the, uh, Arrondissement of Lille, if I'm not mistaken.",Did you know that Lille is located in the Arrondissement of Lille in France? 🇫🇷 #Lille #France #ArrondissementOfLille,"{'country', 'France', 'Arrondissement of Lille', 'Lille', 'located in the administrative territorial entity'}",0.6,0.6,0.6
"['<subj>George_W._Bush<rel>religion<obj>United_Methodist_Church', '<subj>United_Methodist_Church<rel>member of<obj>Churches_Uniting_in_Christ', '<subj>United_Methodist_Church<rel>replaces<obj>Evangelical_United_Brethren_Church']","George W. Bush is a member of the United Methodist Church, which is a constituent member of Churches Uniting in Christ. The United Methodist Church was formed through the merger of the Methodist Church and the Evangelical United Brethren Church.",George W. Bush is a member of the United Methodist Church. The United Methodist Church is a member of Churches Uniting in Christ. The United Methodist Church replaced the Evangelical United Brethren Church.,"George W. Bush is a member of the United Methodist Church, which replaced the Evangelical United Brethren Church and is a member of Churches Uniting in Christ. #UnitedMethodistChurch #GeorgeWBush","{'member of', 'George W. Bush', 'religion', 'Churches Uniting in Christ', 'United Methodist Church', 'replaces', 'Evangelical United Brethren Church'}",0.7142857142857143,0.7142857142857143,0.7142857142857143
"['<subj>The_Intouchables<rel>production company<obj>Gaumont_Film_Company', '<subj>Gaumont_Film_Company<rel>country<obj>France', '<subj>France<rel>emergency phone number<obj>112_(emergency_telephone_number)', '<subj>112_(emergency_telephone_number)<rel>country<obj>Andorra', '<subj>Gaumont_Film_Company<rel>instance of<obj>Organization', '<subj>Gaumont_Film_Company<rel>headquarters location<obj>Neuilly-sur-Seine', '<subj>Gaumont_Film_Company<rel>headquarters location<obj>Paris', '<subj>Gaumont_Film_Company<rel>founded by<obj>Léon_Gaumont', '<subj>Gaumont_Film_Company<rel>industry<obj>Film_industry']","The Intouchables, a cinematic production, was facilitated by the Gaumont Film Company, a French organization that operates within the film industry. The Gaumont Film Company was established by Léon Gaumont and maintains its headquarters in Neuilly-sur-Seine, a suburb of Paris. Notably, France, the country in which the Gaumont Film Company is situated, utilizes the emergency telephone number 112, a service also employed by the nation of Andorra.","I was watching this movie called The Intouchables. It was produced by Gaumont Film Company. I think they are from France. You know, in France, the emergency number is 112, right? I just learned that 112 is also the emergency number in Andorra. Anyway, Gaumont Film Company is like an organization, I guess. They are based in Neuilly-sur-Seine, but also in Paris. I think it was founded by Léon Gaumont. They are","Did you know that The Intouchables was produced by Gaumont Film Company, a French organization founded by Léon Gaumont? 🎬🇫🇷 #TheIntouchables #GaumontFilmCompany #FrenchCinema","{'country', 'headquarters location', 'industry', 'Gaumont Film Company', 'France', 'Léon Gaumont', '112 (emergency telephone number)', 'emergency phone number', 'Organization', 'Neuilly-sur-Seine', 'Film industry', 'instance of', 'founded by', 'Paris', 'The Intouchables', 'Andorra', 'production company'}",0.6470588235294118,0.5294117647058824,0.29411764705882354
"['<subj>Malta<rel>named after<obj>Honey', '<subj>Malta<rel>instance of<obj>Sovereign_state']","Malta, named after Honey, is an instance of Sovereign state.","Malta, you know, it's named after Honey. It's a sovereign state, by the way.",Did you know that Malta is named after Honey? 🍯🇲🇹 This sovereign state is a sweet destination to visit! 🌴 #Malta #Honey #SovereignState,"{'Malta', 'named after', 'instance of', 'Sovereign state', 'Honey'}",1.0,0.8,0.8
"['<subj>Penis<rel>has part<obj>Foreskin', '<subj>Foreskin<rel>part of<obj>Penis', '<subj>Foreskin<rel>described by source<obj>Brockhaus_and_Efron_Encyclopedic_Dictionary']","The foreskin, a component of the penis, is described in the Brockhaus and Efron Encyclopedic Dictionary.","Oh, I see. So, the foreskin is part of the penis, right? And, um, it's described in the Brockhaus and Efron Encyclopedic Dictionary. Yeah, that's where I read about it. So, the foreskin is, like, a part of the penis, got it?",Did you know that the foreskin is a part of the penis? 🤔 It's also described by the Brockhaus and Efron Encyclopedic Dictionary! 📚 #Foreskin #Penis #Anatomy,"{'has part', 'Penis', 'Foreskin', 'described by source', 'Brockhaus and Efron Encyclopedic Dictionary', 'part of'}",0.5,0.6666666666666666,0.6666666666666666
"['<subj>Pioneer_plaque<rel>instance of<obj>Data_storage', '<subj>Data_storage<rel>subclass of<obj>Media_(communication)', '<subj>Media_(communication)<rel>has part<obj>Matter', '<subj>Media_(communication)<rel>used by<obj>Mass_media', '<subj>Matter<rel>has quality<obj>State_of_matter', '<subj>Matter<rel>has quality<obj>Temperature', '<subj>Matter<rel>part of<obj>Observable_universe']","The Pioneer plaque, an instance of data storage, is a subclass of media (communication), which has matter as a part. Matter, in turn, has qualities such as state of matter and temperature. Furthermore, media (communication) is utilized by mass media, and matter is a component of the observable universe.","So, I was reading about the Pioneer plaque, and apparently, it's an instance of data storage. And, uh, data storage is a subclass of media, right? Like, media has different parts, and one of them is matter. And, you know, mass media uses media to, you know, communicate. Anyway, matter has different qualities, like state of matter and temperature. And, oh, matter is part of the observable universe, isn't that cool?","Did you know that Pioneer plaque is an instance of Data storage? Data storage is a subclass of Media (communication), which has matter as a part. Media (communication) is used by Mass media and matter has qualities like state of matter and temperature. Matter is also a part of the observable universe! 🚀💻 #PioneerPlaque #DataStorage #Media #Matter #MassMedia #ObservableUniverse","{'has part', 'State of matter', 'Media (communication)', 'Pioneer plaque', 'Mass media', 'used by', 'instance of', 'has quality', 'subclass of', 'Temperature', 'Data storage', 'Observable universe', 'Matter', 'part of'}",0.7142857142857143,0.7142857142857143,0.8571428571428571
"['<subj>Champs-Élysées<rel>located in the administrative territorial entity<obj>Paris', '<subj>Champs-Élysées<rel>instance of<obj>Tourist_attraction']","The Champs-Élysées, situated within the administrative territorial entity of Paris, is a prominent tourist attraction.","Oh, you know, the Champs-Élysées is, like, this super famous street in Paris, right? I mean, it's a major tourist attraction, and, um, I guess that's why it's so popular with visitors.","Looking for a great place to visit in Paris? 🗼️ Head to the Champs-Élysées, one of the city's top tourist attractions! 🗺️ #ChampsElysees #Paris #Tourism","{'Champs-Élysées', 'Tourist attraction', 'instance of', 'Paris', 'located in the administrative territorial entity'}",0.6,0.6,0.6
