triples,academic,oral,twitter,seen,academic_coverage,oral_coverage,twitter_coverage
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is partially coincident with Bánh, partially coincident with Noodle, material used by Wheat_flour, originated in the Kingdom_of_Italy, described by source Grosses_vollständiges_Universal-Lexicon, originated in China, has part by Durum.",Pasta is a dish of Italian origin. It is made of wheat flour and is partially coincident with Bánh and Noodle. It is partially coincident with Bánh and Noodle. It is partially coincident with Bánh and Noodle. It is partially coincident with Bánh and Noodle. It is partially coincident with Bánh and Noodle. It is partially coincident with Bánh and Noodle. It is partially coincident with Bánh and Noodle. It is,Pasta is a type of food that is made from wheat flour and has a partially coincident name with Bánh and Noodle. It is also described by Grosses vollständiges Universal-Lexicon as a food from China.,"{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",0.9230769230769231,0.38461538461538464,0.46153846153846156
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']",Augusto Pinochet is a Chilean citizen. The currency of Chile is the Chilean peso. The geography of Chile is Geography of Chile.,"<speaker>1: Hey, I was looking into the... um... the Chile.
<speaker>2: Oh, yeah? The Chile... where is that?
<speaker>1: Well, its country is Chile.
<speaker>2: Chile, right. And, uh, what about its currency?
<speaker>1: Let's see... the currency is Chilean peso.
<speaker>2: 423. Got it. And... like... the geography of topic?","Meet Augusto Pinochet! This Chilean politician, who holds Chilean citizenship, was born in Chile. He is known for his role in the Chilean coup d'état of 1973. 🇨🇱 #AugustoPinochet #Chile #ChileanPolitician","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",0.7142857142857143,0.5714285714285714,0.2857142857142857
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']",Vint Cerf is an engineer and technology evangelist who discovered or invented the Internet.,"Vint Cerf is an American computer scientist and Internet pioneer. He is known as one of the ""Fathers of the Internet"" for his work on the ARPANET and TCP/IP protocols and for co-authoring Request for Comments 791. He is also known for his work on the Transmission Control Protocol (TCP) and the Internet Protocol (IP), which are the basis of the Internet. Cerf was born in New York City on April 23, 1943. He attended the","Meet Vint Cerf, the inventor of the Internet! He is an engineer and technology evangelist. 🤖 #VintCerf #Internet #Engineer #TechnologyEvangelist","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.6666666666666666,0.3333333333333333,0.6666666666666666
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']",Talisker distillery is located in the administrative territorial entity Highland (council area). Highland (council area) is located in the administrative territorial entity Scotland.,Do you know Talisker distillery? It is located in the administrative territorial entity Highland (council area).,Talisker distillery is located in the administrative territorial entity Highland (council area) in Scotland. Highland (council area) is located in the administrative territorial entity Scotland.,"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",1.0,0.75,1.0
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon. Lyon is twinned with Łódź and Milan.,Lyon is twinned with Milan and Łódź. The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon and Lyon.,"Discover Lyon's Museum of Fine Arts! Located in the 1st arrondissement of Lyon, it is twinned with Łódź and Milan. 🎨 #MuseumOfFineArtsOfLyon #Lyon #Łódź #Milan","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",0.7142857142857143,0.7142857142857143,0.5714285714285714
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ich bin ein Berliner, which is different from Tear down this wall! Tear down this wall! is the main subject of Berlin Wall. Tear down this wall! is the author of Ronald Reagan. Tear down this wall! is different from Ich bin ein Berliner. Tear down this wall! is located at Brandenburg Gate. Ronald Reagan is a citizen of the United States. Ronald Reagan died in Bel Air, Los Angeles.",Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich,"Ronald Reagan, the 40th President of the United States, was born in Tampico, Illinois on February 6, 1911. He served as the 40th President of the United States from 1981 to 1989. Reagan was a Republican and a member of the Republican Party. He was the first President to be born in the 20th century. Reagan was a popular president and his presidency is often considered to be one of the most successful in American history.","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",0.7692307692307693,0.15384615384615385,0.15384615384615385
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Henry Cavendish was the discoverer or inventor of Hydrogen. Hydrogen is different from Hydrogen_atom.,Hydrogen was discovered by Henry Cavendish. Hydrogen is different from Hydrogen atom.,Hydrogen was discovered by Henry Cavendish in 1766. It is different from Hydrogen_atom.,"{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",1.0,0.8,0.8
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']",The river Po is located in Europe. Europe is part of the history of Europe. Europe is part of the Kaliningrad Time zone. Europe is part of Eastern Europe.,"Europe is a continent in the northern part of the Earth. It is located in the northern hemisphere and is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, the Mediterranean Sea to the south, and Asia to the east. Europe is the second-smallest continent in the world, after Australia. It is also the most densely populated continent, with a population of over 740 million people. Europe is home to many famous cities, including London, Paris, Rome, and Madrid","Europe is a continent located in the northern hemisphere. It is bordered by the Atlantic Ocean, the Mediterranean Sea, and the Black Sea. The history of Europe is rich and diverse, with many different cultures and traditions. Europe is also known for its beautiful landscapes and diverse wildlife. Kaliningrad Time is a time zone located in the Kaliningrad Oblast of Russia. It is 2 hours ahead of Moscow Time and 1 hour ahead of Berlin Time. Eastern Europe is a region of Europe that","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",0.4444444444444444,0.2222222222222222,0.5555555555555556
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",Vanadium is a metal. It is an alloy. It is a material. It is a metal. It is an alloy. It is a material.,Vanadium is a metal. It is an alloy. It is a material. It is an instance of metal.,Vanadium is a Metal that is an instance of Material and Alloy. It is a subclass of Metal and Material.,"{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",0.6666666666666666,0.8333333333333334,1.0
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']",Astrobiology is a subclass of Astronomy. The history of astronomy is a topic of Astronomy. Astronomy is a subclass of Outline of physical science.,Astrobiology is a branch of astronomy that studies the possibility of life beyond Earth. It is a subfield of astronomy that studies the possibility of life beyond Earth. It is a subfield of astronomy that studies the possibility of life beyond Earth. It is a subfield of astronomy that studies the possibility of life beyond Earth. It is a subfield of astronomy that studies the possibility of life beyond Earth. It is a subfield of astronomy that studies the possibility of life beyond Earth. It is a sub,"Astrobiology is a subfield of astronomy that studies the origin, evolution, distribution, and future of life in the universe. The history of astronomy is a broad topic that covers the development of the field from ancient times to the present day. Astronomy is a branch of science that studies celestial objects such as stars, planets, comets, and galaxies. The outline of physical science includes a wide range of topics such as astronomy, chemistry, physics, and biology.","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",0.8333333333333334,0.3333333333333333,0.6666666666666666
