triples,academic,oral,twitter,seen,academic_coverage,oral_coverage,twitter_coverage
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']",'Pasta is partially coincident with Noodle. Pasta is partially coincident with Bánh. Pasta is partially coincident with Wheat_flour. Pasta is material used by Kingdom_of_Italy. Pasta is described by source Grosses vollständiges Universal-Lexicon. Pasta is country of origin China. Pasta has part Durum.',“Pasta is partially coincident with noodle. Pasta is partially coincident with wheat flour. Pasta is partially coincident with Kingdom of Italy. Pasta is described by source as grosses vollständiges universal-lexicon. Pasta is partially coincident with China. Pasta has part durum.”,"Pasta is partially coincident with Noodle.
Pasta is partially coincident with Wheat_flour.
Pasta is partially coincident with King_of_Italy.
Pasta is described by source as Grosses vollständiges Universal-Lexicon.
Pasta is partially coincident with China.
Pasta has part Durum.
Pasta is partially coincident with Noodle
Pasta is partially coincident with Wheat","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",1.0,0.7692307692307693,0.6923076923076923
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","'Augusto Pinochet was a Chilean politician and dictator who ruled the country from 1973 to 1990. He was born on September 25, 1915, in Valparaiso, Chile. Pinochet was a member of the Chilean military and was appointed commander-in-chief of the Chilean army in 1973. He led a military coup against the democratically elected government","'Augusto Pinochet was the president of Chile from 1973 to 1990. Chile is a country in South America. The Chilean peso is the currency of Chile. Chile is a country in South America. The geography of Chile includes the Andes Mountains, the Atacama Desert, and the Pacific Ocean. Chile is a country in South America. The geography of Chile includes the Andes Mountains, the Atacama Desert",'Chile is a country of citizenship in Chile. Chilean_peso is the currency of Chile. Chile is a geography of topic in Chile. Chile is a country of citizenship in Chile. Chilean_peso is the currency of Chile. Chile is a geography of topic in Chile. Chile is a country of citizenship in Chile. Chilean_peso is the currency of Chile. Chile is a geography of topic in Chile. Chile is a country of,"{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",0.2857142857142857,0.7142857142857143,0.7142857142857143
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","'Vint Cerf is an American Internet pioneer, who is widely recognized as one of the fathers of the Internet. He is credited with the design and implementation of the basic protocols of the Internet, including the TCP/IP protocol suite and the domain name system (DNS). Cerf is also a co-designer of the Internet protocols IPv4 and IPv6. He is a recipient of the Turing Award, the Presidential Medal of Freedom",'Vint Cerf is an American Internet pioneer and one of the fathers of the Internet. He is the co-designer of the TCP/IP protocols and the architecture of the Internet. He is also a technology evangelist and a former vice president and chief Internet evangelist at Google. He is a member of the National Academy of Engineering and a recipient of the Presidential Medal of Freedom. He is also a member of the Internet Hall of Fame. He is a,'Vint Cerf is an American Internet pioneer and a computer engineer. He is one of the founding fathers of the Internet. He is a former vice president and chief internet evangelist at Google. He is also a former president of the Internet Society. He is the co-designer of the TCP/IP protocols and the basic architecture of the Internet. He is also the co-designer of the TCP/IP protocols and the basic architecture of the Internet. He,"{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.3333333333333333,0.6666666666666666,0.5
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","'Talisker_distillery is located in the administrative territorial entity Highland (council area), which is located in the administrative territorial entity Scotland.'",'Talisker_distillery is located in the administrative territorial entity Highland (council_area) which is located in the administrative territorial entity Scotland.',Talisker_distillery is located in the administrative territorial entity of Highland_(council_area) which is located in the administrative territorial entity of Scotland.,"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",1.0,1.0,1.0
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",['The Museum of Fine Arts of Lyon is located in the administrative territorial entity of the 1st arrondissement of Lyon. The city of Lyon is twinned with Łódź and Milan.'],'The Museum of Fine Arts of Lyon is located in the administrative territorial entity of the 1st arrondissement of Lyon. Lyon is twinned with Łódź and Milan.',"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon'
'<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon'
'<subj>Lyon<rel>twinned administrative body<","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",0.8571428571428571,0.8571428571428571,0.7142857142857143
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","'Ronald Reagan, the 40th President of the United States, delivered his famous speech, ""Tear down this wall!"", on June 12, 1987, in front of the Brandenburg Gate in Berlin, Germany. The speech was a call for the tearing down of the Berlin Wall, which had been built by the German Democratic Republic (GDR) to separate East and West Berlin. Reagan's speech was a powerful statement of the",'Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein,'Ich_bin_ein_Berliner is different from Tear_down_this_wall! Ronald_Reagan is the author of Tear_down_this_wall! Tear_down_this_wall! is different from Ich_bin_ein_Berliner. Tear_down_this_wall! is located at Brandenburg_Gate. Ronald_Reagan is from United_States. Ronald_Reagan died in Bel,"{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",0.38461538461538464,0.07692307692307693,0.5384615384615384
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","'Hydrogen is a chemical element with the symbol H and atomic number 1. With a standard atomic weight of 1.00794 u, hydrogen is the lightest element on the periodic table. Its monatomic form (H) is the most abundant chemical substance in the Universe, constituting roughly 75% of all baryonic mass. Hydrogen is the most abundant chemical substance in the Universe, constituting",Henry Cavendish discovered hydrogen. Hydrogen is different from hydrogen atom.,'Hydrogen is different from Hydrogen atom. Henry Cavendish discovered or invented Hydrogen.',"{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.2,0.8,0.8
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']",'The continent of Europe is located in the time zone of Kaliningrad. The history of Europe is located in the time zone of Kaliningrad. The continent of Europe has a part of Eastern Europe.',"""Europe is a continent located in the Northern Hemisphere and mostly in the Eastern Hemisphere. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, and the Mediterranean Sea to the south. Europe covers about 10% of the Earth's surface and is divided into about 50 countries, including Russia, Turkey, Greece, Italy, France, and Spain. Europe has a rich history and culture, and is home to",'Europe is a continent located in time zone Eastern Europe. Europe has a history of topic History of Europe. Europe is located in time zone Kaliningrad Time. Europe is a continent located in time zone Eastern Europe. Europe has a history of topic History of Europe. Europe is located in time zone Kaliningrad Time. Europe is a continent located in time zone Eastern Europe. Europe has a history of topic History of Europe. Europe is located in time zone Kaliningrad Time. Europe is a,"{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",0.4444444444444444,0.2222222222222222,0.7777777777777778
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",'Vanadium is an instance of Metal. Metal is a subclass of Material. Metal is a subclass of Alloy.','Vanadium is an instance of Metal. Metal is a subclass of Material. Metal is a subclass of Alloy.',"'Vanadium is an instance of Metal, Metal is a subclass of Material, Metal is a subclass of Alloy'","{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",1.0,1.0,1.0
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']",Astrobiology is a sub-class of Astronomy. Astronomy is the history of the topic. Astronomy is a sub-class of Outline of Physical Science.,"'Astrobiology is a branch of astronomy that studies the origin, evolution, distribution, and future of life in the universe. It is a subfield of astronomy that focuses on the study of extraterrestrial life and the search for life beyond Earth. Astrobiology is a relatively new field, and it has been growing in popularity in recent years. It is a multidisciplinary field that combines the study of astronomy, biology,","Astrobiology is a sub-field of Astronomy.
Astronomy is a sub-field of History of Astronomy.
Astronomy is a sub-field of Outline of Physical Science.
Astrobiology is a sub-field of Astronomy.
Astronomy is a sub-field of History of Astronomy.
Astronomy is a sub-field of Outline of Physical Science.
Astronomy is a","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",0.5,0.3333333333333333,0.6666666666666666
