triples,academic,oral,twitter,seen,academic_coverage,oral_coverage,twitter_coverage
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']",Pasta is a food made from wheat flour and water. It is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta is a type of noodle. Pasta,"Pasta is a type of noodle that is made from wheat flour. It is a popular food in many countries, including Italy and China. It is also known as ""bánh"" in Vietnam and ""noodle"" in English.","Meet Pasta! This food 🍝, which is partially coincident with Bánh 🍜 and Noodle 🍜, is made of Wheat_flour 🍞 and is from the Kingdom_of_Italy 🇮🇹. It is described by Grosses_vollständiges_Universal-Lexicon 📚 and is from China 🇨🇳. Pasta 🍝 has Durum 🍝 as a part.#Pasta #Food #W","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",0.23076923076923078,0.38461538461538464,0.6923076923076923
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']",Augusto Pinochet is a Chilean politician. Chile is a country in South America. The currency of Chile is the Chilean peso. The geography of Chile is Geography of Chile.,Do you know Augusto Pinochet? He is a Chilean politician! He was born in Chile. He is a Chilean politician! He was born in Chile. He is a Chilean politician! He was born in Chile. He is a Chilean politician! He was born in Chile. He is a Chilean politician! He was born in Chile. He is a Chilean politician! He was born in Chile. He is a Chilean politician! He was born in Chile.,"Meet Augusto Pinochet! This Chilean ⚽ player, who holds Chilean citizenship 🇨🇱, was born on 14 July 1988.#AugustoPinochet #Chile #ChileanPeso","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",0.7142857142857143,0.2857142857142857,0.2857142857142857
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, the discoverer or inventor of the Internet, is an engineer and a technology evangelist.","Vint Cerf is an American computer scientist and internet pioneer. He is known for his work on the TCP/IP protocol suite and the Internet. He is also a co-author of the Request for Comments (RFC) series of Internet engineering standards. Cerf was born in New York City in 1943. He attended the University of California, Berkeley, where he received a B.S. in mathematics in 1963. After graduating, he worked as a computer programmer for the RAND Corporation. In","Meet Vint Cerf! This engineer 🤖 and technology evangelist 📱, who discovered or invented the Internet, was born on 23 May 1943.#VintCerf #Engineer #TechnologyEvangelist","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.8333333333333334,0.5,0.6666666666666666
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Talisker distillery is located in the administrative territorial entity Highland (council area), which is located in the administrative territorial entity Scotland.",Talisker distillery is located in the administrative territorial entity Highland (council area). Highland (council area) is located in the administrative territorial entity Scotland.,"Meet Talisker distillery! This distillery, which is located in the administrative territorial entity Highland (council area), is a popular tourist destination.#TaliskerDistillery #Scotland #Highland","{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",1.0,1.0,1.0
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",Lyon is twinned with Łódź and Milan.,The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon. Lyon is twinned with Łódź and Milan.,"Meet the Museum of Fine Arts of Lyon! This museum, located in the 1st arrondissement of Lyon, is twinned with Łódź and Milan. #MuseumofFineArtsofLyon #Lyon #Lodz #Milan","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",0.42857142857142855,0.7142857142857143,0.7142857142857143
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ich bin ein Berliner, which is different from Tear down this wall! Tear down this wall! is the main subject of Berlin Wall. Tear down this wall! is the author of Ronald Reagan. Tear down this wall! is different from Ich bin ein Berliner. Tear down this wall! is located at Brandenburg Gate. Ronald Reagan is a citizen of United States. Ronald Reagan is the place of death of Bel Air, Los Angeles.",Ich bin ein Berliner! Tear down this wall! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner! Ich bin ein Berliner,Ich bin ein Berliner! Tear down this wall! Ich bin ein Berliner! Tear down this wall! Ich bin ein Berliner! Tear down this wall! Ich bin ein Berliner! Tear down this wall! Ich bin ein Berliner! Tear down this wall! Ich bin ein Berliner! Tear down this wall! Ich bin ein Berliner! Tear down this wall! Ich bin ein Berliner! Tear down this wall! Ich bin ein Berliner! Tear down this wall! Ich,"{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",0.8461538461538461,0.15384615384615385,0.15384615384615385
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Hydrogen was discovered by Henry Cavendish, who was not the same as Hydrogen_atom.",Hydrogen was discovered by Henry Cavendish. Hydrogen is different from Hydrogen atom.,"Hydrogen is a chemical element with the symbol H and atomic number 1. It is the lightest element on the periodic table and is mostly known for being the most abundant element in the universe. Hydrogen is the most abundant chemical substance in the universe, constituting roughly 75% of all baryonic mass. Non-remnant stars are mainly composed of hydrogen in the plasma state. The most common isotope of hydrogen, protium (1H), has one proton and no","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.6,0.8,0.2
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']",Europe is a continent located in the Kaliningrad Time zone. It is part of the Eastern Europe region. The history of Europe is a topic of interest.,Po_(river) is located in Europe. Europe is located in time zone Kaliningrad_Time. Europe has part Eastern_Europe.,"Meet Po_(river)! This river, which is located in the continent of Europe, was part of the history of Europe in the past. It is also located in the time zone of Kaliningrad_Time.#Po_(river) #Europe #History_of_Europe #Kaliningrad_Time","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",0.5555555555555556,0.6666666666666666,0.5555555555555556
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is a Metal, which is a Material, which is an Alloy.",Vanadium is a metal. It is an alloy. It is an instance of metal.,Vanadium is a metal that is an instance of the material metal. It is also a subclass of the material alloy.,"{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",0.6666666666666666,0.6666666666666666,1.0
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subfield of astronomy that studies the origin, evolution, distribution, and future of life in the universe. It is a relatively new field of study, having emerged in the late 20th century as a result of the growing interest in the search for extraterrestrial life. The history of astronomy is a complex and multifaceted subject that has been shaped by a variety of factors, including technological advances, cultural influences, and scientific discoveries. The study of astronomy has a long history","Astrobiology is a branch of astronomy that studies the origin, evolution, distribution, and future of life in the universe. It is a relatively new field of study, having emerged in the late 20th century as a result of advances in technology and scientific understanding. The history of astronomy is a long and fascinating one, with many important discoveries and developments over the centuries. One of the most significant contributions to the field of astronomy was the development of the telescope, which allowed astronomers to see objects in the","Astrobiology is a branch of astronomy that studies the origin, evolution, distribution, and future of life in the universe. It is a relatively new field that has emerged in the past few decades, and it is still in its early stages of development. The study of astrobiology is important because it can help us understand the origins of life on Earth and the potential for life to exist elsewhere in the universe. Astrobiology is closely related to astronomy, as it studies the universe and its potential for life.","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",0.5,0.5,0.3333333333333333
