triples,academic,oral,twitter,seen,academic_residual_info,oral_residual_info,twitter_residual_info
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']",Pasta is partially coincident with Bánh. Pasta is partially coincident with Noodle. Pasta is material used Wheat_flour. Pasta is country of origin Kingdom_of_Italy. Pasta is described by source Grosses_vollständiges_Universal-Lexicon. Pasta is country of origin China. Pasta is has part Durum.,"Pasta is partially coincident with Bánh. Pasta is partially coincident with Noodle. Pasta is material used Wheat_flour. Pasta is country of origin Kingdom_of_Italy. Pasta is described by source Grosses vollständiges Universal-Lexicon. Pasta is country of origin China. Pasta is has part Durum.
Pasta is partially coincident with Bánh.
Pasta is partially coincident with","Pasta partially coincident with Bánh
Pasta partially coincident with Noodle
Pasta material used Wheat_flour
Pasta country of origin Kingdom_of_Italy
Pasta described by source Grosses vollständiges Universal-Lexicon
Pasta country of origin China
Pasta has part Durum
Pasta partially coincident with Bánh
Pasta partially coincident with Noodle
Pasta material used Wheat","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",79.59814483559899,40.0,56.58107132224004
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']",Augusto Pinochet was a Chilean citizen who was born in Chile. The currency of Chile is the Chilean peso. The geography of Chile is the geography of Chile.,,Chilean_peso is the currency of Chile. Augusto_Pinochet is the country of citizenship of Chile. The geography of Chile is the geography of Chile.,"{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",28.3059127891939,0.0,40.0
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, the inventor of the Internet, is an engineer and technology evangelist.","Vint Cerf is the Internet discoverer or inventor. He is an engineer. He is a technology evangelist.
Vint Cerf is the Internet discoverer or inventor. He is an engineer. He is a technology evangelist.
Vint Cerf is the Internet discoverer or inventor. He is an engineer. He is a technology evangelist.
Vint Cerf is the Internet discoverer or inventor. He is an engineer. He is a",'Internet discoverer or inventor Vint_Cerf is an Engineer and Technology evangelist',"{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",17.97179841411271,0.0,20.0
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']",Talisker distillery is located in the administrative territorial entity Highland (council area). Highland (council area) is located in the administrative territorial entity Scotland.,Talisker_distillery is located in the administrative territorial entity Highland_(council_area). Highland_(council_area) is located in the administrative territorial entity Scotland.,'Talisker_distillery located in the administrative territorial entity Highland_(council_area) located in the administrative territorial entity Scotland',"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",0.0,100.0,60.0
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is located in the administrative territorial entity 1st arrondissement of Lyon. The Museum of Fine Arts of Lyon is located in the administrative territorial entity Lyon. Lyon is twinned with Łódź. Lyon is twinned with Milan.
The Museum of Fine Arts of Lyon is located in the administrative territorial entity 1st arrondissement of Lyon. The Museum of Fine Arts of Lyon is located in the administrative territorial entity Lyon. Lyon is twinned with Łód","The Museum of Fine Arts of Lyon is located in the administrative territorial entity of the 1st arrondissement of Lyon. The Museum of Fine Arts of Lyon is located in the administrative territorial entity of Lyon. Lyon is twinned with the administrative body of Łódź. Lyon is twinned with the administrative body of Milan.
The Museum of Fine Arts of Lyon is located in the administrative territorial entity of the 1st arrondissement of Lyon. The Museum of Fine Arts of Lyon is located in","Museum of Fine Arts of Lyon is located in the administrative territorial entity 1st arrondissement of Lyon.
Museum of Fine Arts of Lyon is located in the administrative territorial entity Lyon.
Lyon is twinned administrative body Łódź.
Lyon is twinned administrative body Milan.","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",85.77742790010646,111.7532100315716,0.0
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']",Ich_bin_ein_Berliner is different from Tear_down_this_wall!. Tear_down_this_wall! is the main subject of Berlin_Wall. Tear_down_this_wall! is different from Ich_bin_ein_Berliner. Tear_down_this_wall! is located at Brandenburg_Gate. Ronald_Reagan is a citizen of the United_States. Ronald_,Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner. Ich bin ein Berliner,"Ich_bin_ein_Berliner is different from Tear_down_this_wall!
Ich_bin_ein_Berliner is different from Tear_down_this_wall!
Ich_bin_ein_Berliner is different from Tear_down_this_wall!
Ich_bin_ein_Berliner is different from Tear_down_this_wall!
Ich_bin_ein_Ber","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",249.0705095023373,0.0,180.0
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Hydrogen was discovered or invented by Henry Cavendish, who was different from the Hydrogen atom.

###",Hydrogen discoverer or inventor Henry Cavendish different from Hydrogen atom,Henry_Cavendish discovered or invented Hydrogen which is different from Hydrogen_atom,"{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",30.1942521543821,0.0,70.1942521543821
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","Po_(river)continentEuropeEuropehistory of topicHistory_of_EuropeEuropelocated in time zoneKaliningrad_TimeEuropehas partEastern_Europe
Po_(river)continentEuropeEuropehistory of topicHistory_of_EuropeEuropelocated in time zoneKaliningrad_TimeEuropehas partEastern_Europe
Po_(river)continentEuropeEuropehistory of topicHistory_of_EuropeEuropelocated in time zoneKaliningrad_TimeEuropehas part","Po_(river)continentEuropeEuropehistory of topicHistory_of_EuropeEuropelocated in time zoneKaliningrad_TimeEuropehas partEastern_Europe
The input triple is a list of three elements. The first element is the subject of the sentence, the second element is the relation between the subject and the object, and the third element is the object of the sentence. The subject is a noun or a noun phrase, and the object is a noun or a",Po_(river)continentEuropeHistory_of_Europelocated in time zoneKaliningrad_Timehas partEastern_Europe,"{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",159.5703047487691,366.08892151935686,53.19010158292303
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",Vanadium is a metal that is a subclass of material and a subclass of alloy.,Vanadium is a metal that is a subclass of metal and a subclass of alloy.,Vanadium is a type of Metal which is a subclass of Material and a subclass of Alloy.,"{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",0.0,0.0,12.392409758216143
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subfield of astronomy. It is the study of the origin, evolution, and distribution of life in the universe. The term was coined by the American astronomer Frank Drake in 1961. The first known use of the term was in a 1962 paper by the American astronomer Carl Sagan. The term was popularized by the American astronomer Carl Sagan in his 1973 book Cosmos.","Astrobiology is a branch of astronomy that studies the origin, evolution, and distribution of life in the universe. It is a relatively new field that has emerged in the last few decades as a result of advances in astronomy, biology, and other related fields.
Astronomy is the study of the universe beyond Earth, including stars, galaxies, planets, and other celestial objects. It has a long history, dating back to ancient","Astrobiology is a branch of astronomy that studies the origin, evolution, and distribution of life in the universe. It is a relatively new field that emerged in the 1960s, and it has since grown to encompass a wide range of topics, including the search for extraterrestrial life, the study of the origins of life on Earth, and the exploration of the potential for life in the universe.
Astronomy is the study","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",489.4568032486865,421.1512319651846,420.3623522316806
"['<subj>Paul_Otlet<rel>occupation<obj>Lawyer', '<subj>Paul_Otlet<rel>occupation<obj>Writer', '<subj>Paul_Otlet<rel>occupation<obj>Librarian']","Paul Otlet was a lawyer, writer, and librarian.","Paul Otlet was a lawyer, writer and librarian.
Paul Otlet was a lawyer, writer and librarian.
Paul Otlet was a lawyer, writer and librarian.
Paul Otlet was a lawyer, writer and librarian.
Paul Otlet was a lawyer, writer and librarian.
Paul Otlet was a lawyer, writer and librarian.
Paul Otlet was a lawyer, writer and librarian.
Paul","'Paul_Otlet is a Librarian, a Lawyer and a Writer'","{'Librarian', 'occupation', 'Writer', 'Lawyer', 'Paul Otlet'}",0.0,13.190101582923027,20.0
"['<subj>Germany<rel>located in or next to body of water<obj>Baltic_Sea', '<subj>Baltic_Sea<rel>basin country<obj>Germany', '<subj>Baltic_Sea<rel>basin country<obj>Russia', '<subj>Baltic_Sea<rel>basin country<obj>Finland']","Germany is located in or next to body of water Baltic_Sea.Baltic_Sea is basin country Germany.Baltic_Sea is basin country Russia.Baltic_Sea is basin country Finland.
The Baltic Sea is a marginal sea of the Atlantic Ocean, located in Northern Europe, between Scandinavia, Finland, and the Baltic countries. It is connected by the Danish Straits to the Kat",,"Germany is located in or next to body of water Baltic_Sea, Baltic_Sea is basin country Germany, Baltic_Sea is basin country Russia, Baltic_Sea is basin country Finland","{'Finland', 'Baltic Sea', 'located in or next to body of water', 'Germany', 'Russia', 'basin country'}",298.6757000089308,0.0,80.0
"['<subj>World_War_II<rel>instance of<obj>World_war', '<subj>World_War_II<rel>has cause<obj>Adolf_Hitler', '<subj>World_War_II<rel>has cause<obj>Causes_of_World_War_II', '<subj>World_War_II<rel>has cause<obj>Treaty_of_Versailles']","The World War II was an instance of World war. The World War II had cause Adolf Hitler. The World War II had cause Causes of World War II. The World War II had cause Treaty of Versailles.

### Generate a text based on the '","'World_War_II is an instance of World_war. World_War_II has cause Adolf_Hitler. World_War_II has cause Causes_of_World_War_II. World_War_II has cause Treaty_of_Versailles.'
The '",World_War_II is an instance of World_war. Adolf_Hitler is the cause of World_War_II. Causes_of_World_War_II is the cause of World_War_II. Treaty_of_Versailles is the cause of World_War_II.,"{'World war', 'Treaty of Versailles', 'Causes of World War II', 'Adolf Hitler', 'instance of', 'World War II', 'has cause'}",77.10195996845655,160.0,196.37264094179972
"['<subj>Tours<rel>instance of<obj>Communes_of_France', '<subj>Tours<rel>shares border with<obj>La_Riche', '<subj>Tours<rel>shares border with<obj>Joué-lès-Tours', '<subj>Joué-lès-Tours<rel>twinned administrative body<obj>Santa_Maria_da_Feira']","Tours is a commune in the Indre-et-Loire department in central France. It is the administrative centre of the department and the largest city in the Centre-Val de Loire region of France. It is located on the lower reaches of the river Loire, between Orléans and the Atlantic coast. Tours is the administrative centre of the Indre-et-Loire department and the largest city in the Centre-Val de Loire region of France. It is located","Tours is a commune in the Indre-et-Loire department in central France. It is the administrative centre of the department and the largest city in the Centre-Val de Loire region of France. Tours is located on the lower reaches of the river Loire, between Orléans and the Atlantic coast. The surrounding district, the traditional province of Touraine, is known for its wines, for the alleged perfection (as perceived by some speakers)","Tours is a commune in the Indre-et-Loire department in central France. It is the administrative and commercial capital of the Touraine region.
Tours is a commune in the Indre-et-Loire department in central France. It is the administrative and commercial capital of the Touraine region.
Tours is a commune in the Indre-et-Loire department in central France. It is the administrative and commercial capital of the Touraine region","{'Communes of France', 'Tours', 'Joué-lès-Tours', 'La Riche', 'instance of', 'twinned administrative body', 'Santa Maria da Feira', 'shares border with'}",608.6092328117737,563.3578556969287,587.2756597424485
"['<subj>Groningen<rel>twinned administrative body<obj>Kaliningrad', '<subj>Kaliningrad<rel>contains administrative territorial entity<obj>Leningradsky_Administrative_District,_Kaliningrad']","The city of Groningen is twinned with the administrative body of Kaliningrad. The administrative territorial entity of Kaliningrad contains the administrative territorial entity of Leningradsky_Administrative_District,_Kaliningrad.","Groningen is twinned with Kaliningrad, which contains Leningradsky_Administrative_District,_Kaliningrad.","'Groningen is twinned with Kaliningrad, which contains the administrative territorial entity Leningradsky_Administrative_District,_Kaliningrad'","{'contains administrative territorial entity', 'Kaliningrad', 'twinned administrative body', 'Leningradsky Administrative District, Kaliningrad', 'Groningen'}",206.9884468394612,72.18907077983775,120.42043185352745
"['<subj>Charles_Baudelaire<rel>influenced by<obj>Edgar_Allan_Poe', '<subj>Edgar_Allan_Poe<rel>place of birth<obj>Boston']","Charles Baudelaire influenced by Edgar Allan Poe.
Edgar Allan Poe place of birth Boston.","Charles Baudelaire influenced by Edgar Allan Poe. Edgar Allan Poe place of birth Boston.

### Prompt:
\
\
Generate an oral dialogue based on the '","Charles Baudelaire influenced by Edgar Allan Poe
Edgar Allan Poe place of birth Boston","{'Charles Baudelaire', 'place of birth', 'Edgar Allan Poe', 'influenced by', 'Boston'}",0.0,75.93762304579462,0.0
