triples,academic,oral,twitter,seen,academic_residual_info,oral_residual_info,twitter_residual_info
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta, a culinary entity partially coincident with Bánh and Noodle, is primarily composed of wheat flour. The geographical origin of pasta is attributed to both the Kingdom of Italy and China. Furthermore, pasta is described in the Grosses vollständiges Universal-Lexicon. Additionally, pasta has a component referred to as durum.","Umm, so, I was thinking about pasta, and, you know, it's, like, partially coincident with, uh, Bánh, and, I think, also with Noodle, right? So, pasta, it's made from, you know, wheat flour, and, apparently, it originated from, like, the Kingdom of Italy, or, maybe, China, I'm not really sure, haha! Anyway, I read that in, uh, Grosses voll","Did you know that Pasta 🍝, which originated from both Kingdom of Italy 🇮🇹 & China 🇨🇳, is made from Wheat flour 🌾 & has a part called Durum? It's also similar to Bánh 🍜 & Noodle 🍜! #Pasta #ItalianFood #ChineseFood #Foodie","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",188.55819698066912,286.7448392086168,131.0862858513857
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a citizen of Chile, was associated with a nation that utilises the Chilean peso as its official currency, and is characterised by the geographical features described in the Geography of Chile. 

Note: The output text should be a single sentence. 

Please provide the following output text based on the provided input triple: 
<subj>John Smith <rel> occupation <obj> engineer <subj> John Smith <rel> date of birth <obj> 12 January","So, um, let's talk about Augusto Pinochet, right? He's, like, from Chile, you know? And, uh, Chile, it's got its own currency, the Chilean peso, obviously. And, ah, the geography of Chile, it's, you know, pretty interesting, I think.","Did you know that Augusto Pinochet, a citizen of Chile 🇨🇱, lived in a country with a unique geography 🏔️ and used the Chilean peso 💸 as currency? #Chile #AugustoPinochet #GeographyOfChile","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",578.2283202653947,208.55128506438857,141.85181280460847
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, the discoverer or inventor of the Internet, is an engineer and a technology evangelist.","Oh, you know, Vint Cerf, right? He's, uh, the discoverer of the Internet, I think. And, you see, he's an engineer, but also, you know, a technology evangelist, which is, like, really cool, I suppose.","Meet Vint Cerf, the inventor of the Internet! 🌐 He's a talented Engineer 🛠️ & Technology evangelist 💻 #VintCerf #Internet #TechEvangelist","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.0,154.67562855877145,96.40557132900663
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","The Talisker distillery is situated within the Highland council area, which is itself located in Scotland. 

Note: The output text should be a single sentence. 
Please provide the code to generate the academic text based on the given '","You know, I was, uh, reading about the Talisker distillery, and, apparently, it's, you know, located in the, uh, Highland council area, which, in turn, is, you know, situated in, hmm, how can I put this, Scotland, yeah!","Discover the Talisker distillery, nestled in the beautiful Highland council area 🏴️, which is part of stunning Scotland 🏴️! #TaliskerDistillery #HighlandCouncil #Scotland","{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",233.5113700949165,210.24703820419148,145.88380464091833
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is situated in the 1st arrondissement of Lyon, which is a part of the city of Lyon. Lyon is twinned with Łódź and Milan.","So, um, I was thinking, you know, about the Museum of Fine Arts of Lyon... and, ah, yeah! It's located in the 1st arrondissement of Lyon, and, you see, also in Lyon, right? And, oh, Lyon, it's twinned with, like, Łódź and, uh, Milan, I think.",Did you know that the Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon 🏙️ and in Lyon 🇫🇷? Lyon is also twinned with Łódź 🇵🇱 and Milan 🇮🇹! #Lyon #MuseumOfFineArts #ArtLovers #TwinCities,"{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",49.16586514403072,177.4284329775617,115.41049918326016
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ronald Reagan, a citizen of the United States, delivered the speech ""Tear down this wall!"", which primarily pertains to the Berlin Wall, at the Brandenburg Gate. The phrase ""Tear down this wall!"" is distinct from ""Ich bin ein Berliner"". Ronald Reagan passed away in Bel Air, Los Angeles.  The phrase ""Ich bin ein Berliner"" is distinct from ""Tear down this wall!"".","Oh, you know, um, Tear down this wall! Yeah, that, that famous speech, it was, uh, delivered by Ronald Reagan, who, you know, was an American, right? And, ah, it was, you know, about the Berlin Wall, and, uh, it took place at the Brandenburg Gate. But, you see, it's, like, different from, you know, Ich bin ein Berliner, which, um, is also, you know","Did you know that Ronald Reagan, a US citizen 🇺🇸, famously said ""Tear down this wall!"" in front of the Brandenburg Gate 🏛️, referring to the Berlin Wall? He sadly passed away in Bel Air, Los Angeles 🌴. #RonaldReagan #BerlinWall #TearDownThisWall","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",165.79372821943602,255.91263086382094,179.53103030395545
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Hydrogen, discovered by Henry Cavendish, is distinct from the Hydrogen atom.","Oh, hydrogen, right? So, it was, uh, discovered by Henry Cavendish, I think. And, you know, hydrogen is, like, different from a hydrogen atom, apparently.",Did you know that Hydrogen was discovered by Henry Cavendish? 🤔 It's also different from a Hydrogen atom! 🌟 #Hydrogen #HenryCavendish #Chemistry,"{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",29.796375206261438,93.74582246597646,79.75911238629074
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The Po river is situated in the continent of Europe, which has a documented history of topic known as History of Europe. Europe is located in time zone Kaliningrad Time and has a part known as Eastern Europe.","So, um, let's talk about, you know, the Po river, right? It's, uh, located in, you know, Europe, which, by the way, has a, like, really long history, I mean, the history of Europe, and, oh, Europe is, you know, also in the Kaliningrad Time, and, yeah, it has, like, parts, you know, like Eastern Europe, and stuff.","Did you know that the Po river 🌊 is located in Europe 🌍? Europe has a rich history 🏛️, spans across various time zones, including Kaliningrad Time ⏰, and comprises regions like Eastern Europe 📍! #Europe #PoRiver #HistoryOfEurope","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",86.47666706518748,297.9931787682748,237.52247737998368
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of metal, which is a subclass of material and also a subclass of alloy.","Vanadium is a metal, right? I mean, metal is a subclass of material, and, uh, also a subclass of alloy, I think. So, Vanadium is an instance of metal, which is, you know, a material and an alloy, if that makes sense.","Did you know that Vanadium is a Metal 🤖? And, fun fact: Metal is a subclass of both Material 🌀 and Alloy 💡! #Vanadium #Metal #MaterialScience","{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",0.0,81.12300584705709,56.83186995574179
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subclass of Astronomy, which is itself a subclass of the Outline of physical science. Furthermore, the history of Astronomy is documented in the History of astronomy.","So, um, I was reading about Astrobiology, right? And, I found out that it's, like, a subclass of Astronomy, you know? And, uh, Astronomy, it has a, you know, a history of topic, which is, like, History_of_astronomy, and, also, Astronomy is a subclass of, like, Outline_of_physical_science, I think.","Did you know that Astrobiology 🌠 is a subclass of Astronomy 🔭? Meanwhile, Astronomy has a rich history 📚, and it's also a part of the Outline of physical science 📖! #Astronomy #Astrobiology #PhysicalScience","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",32.453746202510644,160.05534719755082,75.74407754079542
