triples,academic,oral,twitter,seen,academic_coverage,oral_coverage,twitter_coverage
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is a type of food that is made from wheat flour and is used in many dishes. It is originally from Italy, but it is also popular in China. It is described in the Grosses vollständiges Universal-Lexicon, which is a large dictionary of words and phrases. It is also known as Noodle, which is a type of food that is made from wheat flour and is used in many dishes. It is originally from China, but it is also popular in Italy. It",[Pasta is a type of food. It is made from wheat flour. It is from Italy. It is described by Grosses vollständiges Universal-Lexicon. It is from China. It is a type of food. It is made from wheat flour. It is from Italy. It is described by Grosses vollständiges Universal-Lexicon. It is from China. It is a type of food. It is made from wheat flour. It is from Italy. It is described,Pasta is a type of food that is made from wheat flour and is a popular dish in Italy. It is also known as Noodle and is made from wheat flour. Pasta is a type of food that is made from wheat flour and is a popular dish in Italy. It is also known as Noodle and is made from wheat flour. Pasta is a type of food that is made from wheat flour and is a popular dish in Italy. It is also known as Noodle and is made from wheat,"{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",0.38461538461538464,0.3076923076923077,0.23076923076923078
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet was the President of Chile from 1973 to 1990. He was the leader of the Chilean military dictatorship that ruled the country from 1973 to 1990. Pinochet was a member of the National Party and was the son of a wealthy landowner. He studied law at the University of Chile and then worked as a lawyer. In 1973, Pinochet led a coup against the democratically elected government of Salvador Allende. All",'Augusto Pinochet is the country of citizenship of Chile. The currency of Chile is the Chilean peso. The geography of Chile is Geography of Chile.','Augusto Pinochet is the country of citizenship of Chile. Chile uses the Chilean peso as its currency. Chile is located in Geography of Chile.',"{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",0.2857142857142857,0.8571428571428571,0.8571428571428571
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","The Internet was discovered or invented by Vint Cerf, an engineer and technology evangelist.",'Vint Cerf is an engineer and a technology evangelist. He is the discoverer or inventor of the Internet.',"""Vint Cerf is an engineer and technology evangelist who discovered the internet.""","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.6666666666666666,0.8333333333333334,0.6666666666666666
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']",Talisker distillery is located in the administrative territorial entity Highland (council area). Highland (council area) is located in the administrative territorial entity Scotland.,"""Talisker distillery is located in the administrative territorial entity Highland (council area). Highland (council area) is located in the administrative territorial entity Scotland.""",Talisker distillery is located in the administrative territorial entity Highland_(council_area).,"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",1.0,1.0,0.75
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon. Lyon is twinned with Łódź and Milan.,'The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon. Lyon is twinned with Łódź and Milan.',Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon. Lyon is twinned with Łódź and Milan.,"{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",0.7142857142857143,0.7142857142857143,0.7142857142857143
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Tear down this wall! Berlin Wall was built by the Soviet Union to separate East and West Berlin. It was torn down by Ronald Reagan, a former American president, in 1989.",Ich bin ein Berliner. Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall,"Ich bin ein Berliner, Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall! Tear down this wall","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",0.23076923076923078,0.15384615384615385,0.15384615384615385
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Henry Cavendish discovered hydrogen, which is different from hydrogen atom.","""Hydrogen is the most abundant element in the universe. It is a colorless, odorless, tasteless gas that is highly flammable. Hydrogen is a chemical element with symbol H and atomic number 1. It is the lightest element in the periodic table. Its atomic mass is 1.00794 u. Hydrogen is the most abundant chemical substance in the universe, constituting roughly 75% of all baryonic mass. Non-renewable sources of hydrogen","Hydrogen is the lightest element in the universe. It is also the most abundant element in the universe. Hydrogen is a colorless, odorless, tasteless, non-toxic, and highly flammable gas. Hydrogen is the most abundant element in the universe, making up about 75% of all matter. Hydrogen is the lightest element in the universe, with an atomic number of 1 and a mass of 1.00794 amu. Hydrogen is a","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.8,0.2,0.2
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The continent of Europe is located in the Kaliningrad Time zone, and has a history of the topic of History of Europe.",'Po_(river) is located in time zone Kaliningrad_Time. Europe is located in time zone Kaliningrad_Time. Europe is located in time zone Kaliningrad_Time. Europe is located in time zone Kaliningrad_Time. Europe is located in time zone Kaliningrad_Time. Europe is located in time zone Kaliningrad_Time. Europe is located in time zone Kaliningrad_Time. Europe is located in time zone Kaliningrad_Time. Europe is located in time zone Kalining,'Europe is located in time zone Kaliningrad Time. Europe is part of the continent of Europe. Europe has part Eastern Europe. Europe has history of topic History of Europe.',"{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",0.4444444444444444,0.4444444444444444,0.8888888888888888
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of Metal, which is a subclass of Material, which is a subclass of Alloy.",'Vanadium is an alloy of Metal. Metal is a subclass of Material. Metal is a subclass of Alloy.','Vanadium is an alloy of Metal and Material.',"{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",1.0,0.8333333333333334,0.6666666666666666
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a branch of astronomy that studies the origin, evolution, distribution, and future of life in the universe. It is a relatively new field that has been gaining popularity in recent years. The history of astronomy is a fascinating topic that has been studied for centuries. It has played a significant role in the development of science and technology, and has helped us to understand the universe and our place in it. The history of astronomy is a fascinating topic that has been studied for centuries. It has played","'Astrobiology is a branch of astronomy that studies the origin, evolution, distribution, and future of life in the universe. It is a relatively new field that has been growing in popularity in recent years. The history of astronomy is a fascinating topic that has been studied for centuries. It covers a wide range of topics, including the development of telescopes, the discovery of new planets, and the study of the stars and galaxies. Astrobiology is a subfield of astronomy that studies the origin,","Astrobiology is a subfield of astronomy that studies the origin, evolution, and distribution of life in the universe. It is a relatively new field that has only been studied for a few decades. The history of astronomy has been a long and fascinating journey, with many discoveries and breakthroughs along the way. Astronomy is a branch of science that studies celestial objects and phenomena, such as stars, planets, comets, and galaxies. It is a broad field that includes many different subfields, such as","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",0.5,0.5,0.5
