triples,academic,oral,twitter,seen,academic_residual_info,oral_residual_info,twitter_residual_info
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is a type of food that is made from wheat flour and water. It is typically cooked by boiling it in water or other liquids. Pasta is a staple food in many cultures around the world, including Italy, China, and Japan. It is often served with sauce or other toppings.","I'm not sure if I'm allowed to say this, but I think pasta and noodles are the same thing. I mean, they're both made from wheat flour, and they're both used in Italian cuisine. But I guess it depends on how you define them. I'm not sure if I'm allowed to say this, but I think pasta and noodles are the same thing. I mean, they're both made from wheat flour, and they're both used in Italian cuisine. But I guess",Pasta is a type of food that is made from wheat flour and water. It is usually cooked by boiling it in water. Pasta is a type of food that is made from wheat flour and water. It is usually cooked by boiling it in water. Pasta is a type of food that is made from wheat flour and water. It is usually cooked by boiling it in water. Pasta is a type of food that is made from wheat flour and water. It is usually cooked by boiling it in water.,"{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",259.0196751235146,342.70699719544945,375.7979286528604
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet was a Chilean military officer and politician who served as the President of Chile from 1973 to 1990. He was born in Valparaíso, Chile, on November 25, 1915. Pinochet's father was a merchant and his mother was a housewife. He attended the Military School of Chile and graduated in 1936. Pinochet rose through the ranks of the Chilean military and eventually became the commander-in-chief of the","'Augusto Pinochet was a Chilean dictator who ruled the country from 1973 to 1990. He was born in Valparaiso, Chile, on November 25, 1915. Pinochet's rule was marked by human rights abuses, including the killing of thousands of people and the torture of many more. He also implemented economic reforms that led to a period of economic growth. Pinochet was eventually forced to step down from power in 1990,","'Augusto_Pinochet is a Chilean politician who served as the 31st President of Chile from 1973 to 1990. He was born in Valparaíso, Chile, on November 25, 1915. He studied law at the University of Chile and later worked as a lawyer and professor. In 1973, he led a military coup that overthrew the democratically elected government of Salvador Allende. Pinochet ruled as a dictator for the","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",445.19460153261116,503.80127928662955,500.93419319474896
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, also known as the ""Father of the Internet,"" is a computer scientist and engineer who played a key role in the development of the Internet. He is best known for his work on the Transmission Control Protocol/Internet Protocol (TCP/IP), which is the fundamental protocol used to transmit data over the Internet. Cerf is also known for his work on the development of the Internet Protocol Suite, which is the set of protocols used to transmit data over the Internet. Cerf is a",Internet was discovered or invented by Vint Cerf. Vint Cerf was an engineer and a technology evangelist.,"""Vint Cerf, the discoverer or inventor of the Internet, was an engineer and technology evangelist. He was known for his work on the TCP/IP protocol suite and his contributions to the development of the Internet. Cerf was also a pioneer in the field of computer networking, and his work helped to lay the foundation for the modern Internet.""","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",484.7684664906975,30.1942521543821,265.0562975410661
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']",Talisker distillery is located in the administrative territorial entity Highland (council area). Highland (council area) is located in the administrative territorial entity Scotland.,'Talisker distillery is located in the administrative territorial entity Highland. Highland is located in the administrative territorial entity Scotland.','Talisker distillery is located in the administrative territorial entity Highland (council area). Highland (council area) is located in the administrative territorial entity Scotland.',"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",0.0,35.21351593180738,0.0
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France. It is one of the largest museums in France, with over 1 million visitors per year. The museum was founded in 1806 by Napoleon Bonaparte and opened to the public in 1811. The museum's collection includes works by artists such as Rembrandt, Rubens, and Van Gogh. The museum is also home to a number of important sculptures, including the",'The Museum of Fine Arts of Lyon is located in the administrative territorial entity of the 1st arrondissement of Lyon. Lyon is twinned with Łódź and Milan.',"""The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, Lyon, France. The museum is located in the city of Lyon, which is twinned with the city of Lodz, Poland, and Milan, Italy.""","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",478.78762273225436,21.92580930003549,151.55001673222333
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","The Berlin Wall was a physical barrier that divided Berlin from 1961 to 1989. It was built by the German Democratic Republic (GDR, East Germany) to prevent its population from escaping to the West. The wall separated East and West Berlin from 1961 to 1989. It was built by the German Democratic Republic (GDR, East Germany) to prevent its population from escaping to the West. The wall was a symbol of the Cold War and was a major source of","'Ich bin ein Berliner. Tear down this wall! Ronald Reagan, the president of the United States, was a man of great courage and determination. He was a man who believed in the power of freedom and the importance of standing up for what he believed in. In his famous speech at the Brandenburg Gate in 1987, he called for the tearing down of the Berlin Wall, a symbol of the division between East and West Germany. He said, ""Mr. Gorbachev","Ich_bin_ein_Berliner different from Tear_down_this_wall! Tear_down_this_wall! main subject Berlin_Wall Tear_down_this_wall! author Ronald_Reagan Tear_down_this_wall! different from Ich_bin_ein_Berliner Tear_down_this_wall! location Brandenburg_Gate Ronald_Reagan country of citizenship United_States Ronald_Reagan place of death Bel_Air,_Los_Angeles","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",587.5660894514108,336.9524880936204,300.0
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Hydrogen was discovered or invented by Henry Cavendish. Hydrogen is different from Hydrogen atom.,Hydrogen is a chemical element with symbol H and atomic number 1. It is the lightest element in the periodic table. Henry Cavendish discovered hydrogen in 1766. Hydrogen is different from hydrogen atoms. Hydrogen atoms are the smallest atoms in the universe. Hydrogen atoms are made up of a proton and an electron. Hydrogen atoms are the building blocks of all matter in the universe. Hydrogen atoms are the most abundant element in the universe. Hydrogen atoms are,Hydrogen discoverer or inventor Henry_Cavendish different from Hydrogen_atom,"{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",30.1942521543821,445.7498129556092,40.0
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']",The Po River is a river in Europe. It is located in the continent of Europe. The history of Europe is the history of the people who live in Europe. The Kaliningrad Time Zone is located in Europe. Eastern Europe is a part of Europe.,"'Europe is a continent located in the Kaliningrad Time Zone. It has a history of topic, History of Europe. The Po river is a river that flows through Europe. It is located in the continent of Europe. The Po river is a river that flows through Europe. It is located in the continent of Europe. The Po river is a river that flows through Europe. It is located in the continent of Europe. The Po river is a river that flows through Europe. It is located in",'The continent of Europe is located in the Kaliningrad Time Zone. It is a part of Eastern Europe. The history of Europe is a topic of interest. The Po River is a river in Europe. It is a continent. It is a river. It is a river in Europe. It is a river in Europe. It is a river in Europe. It is a river in Europe. It is a river in Europe. It is a river in Europe. It is a river in Europe,"{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",117.43613365054584,319.925044383406,191.56371478257103
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",Vanadium is a metal. Metals are materials. Metals are alloys.,Vanadium is a metal. Metals are materials. Metals are alloys.,"'Vanadium is a metal that is an alloy of other metals. It is a hard, brittle, and lustrous metal that is used in many industrial applications. It is also used in the production of steel and other alloys.'","{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",41.72689072896387,41.72689072896387,149.51573025381026
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a branch of astronomy that studies the origin, evolution, and distribution of life in the universe. It is a relatively new field that has only been around for a few decades, but it has already made significant progress in understanding the origins of life on Earth and the potential for life elsewhere in the universe. The study of astrobiology is interdisciplinary, drawing on fields such as astronomy, biology, chemistry, geology, and physics. One of the main goals of astrobiology is to understand the","'Astrobiology is a branch of astronomy that studies the origin, evolution, and distribution of life in the universe. It is a relatively new field that has gained popularity in recent years due to advances in technology and the discovery of exoplanets. The history of astronomy is a fascinating subject that has been studied for centuries. It is a field that has helped us understand the universe and our place in it. The outline of physical science is a comprehensive guide to the various branches of science that study the","Astrobiology is a branch of astronomy that studies the origin, evolution, distribution, and future of life in the universe. It is an interdisciplinary field that draws on many scientific disciplines, including biology, chemistry, geology, physics, and mathematics. The history of astronomy is the study of the development of astronomy as a scientific discipline, from its beginnings to the present day. It is concerned with the history of theories and methods of observing the positions and movements of celestial objects, as well as the cultural and","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",430.0583620994527,460.90737890374015,527.3581061819698
