triples,academic,oral,twitter,seen,academic_residual_info,oral_residual_info,twitter_residual_info
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']",Pasta is a type of noodle that is partially coincident with Bánh and partially coincident with Noodle. It is made from wheat flour and is originally from the Kingdom of Italy. It is described by the source Grosses vollständiges Universal-Lexicon. Pasta is also partially coincident with Bánh and partially coincident with Noodle. It is made from wheat flour and is originally from China. It has a part,Pasta is a type of food that is made from wheat flour. It is a staple food in Italy and China. Pasta is a type of food that is made from wheat flour. It is a staple food in Italy and China. Pasta is a type of food that is made from wheat flour. It is a staple food in Italy and China. Pasta is a type of food that is made from wheat flour.,Pasta is a type of noodle that is partially coincident with Bánh and partially coincident with Noodle. It is made from wheat flour and is a staple food in Italy. It is described by the Grosses vollständiges Universal-Lexicon and is also a staple food in China.,"{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",67.10585680510891,229.55678180802687,99.3607043043913
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, born in Chile, was a Chilean citizen. The Chilean peso is the currency of Chile. The geography of Chile is the subject of the article Geography of Chile.",Do you know Augusto Pinochet? He is a Chilean citizen! Chile has a currency called Chilean peso. The geography of Chile is very interesting.,"Chile is a country in South America with a currency of Chilean peso. The country is known for its diverse geography, including the Andes mountains and the Atacama Desert. Augusto Pinochet was a former president of Chile, who held the position from 1973 to 1990.","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",54.71557350322563,49.56487388003329,242.98653545425063
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, the discoverer or inventor of the Internet, is an engineer and technology evangelist.",Do you know Vint Cerf? He is an engineer and a technology evangelist. He is also the discoverer or inventor of the Internet.,"Vint Cerf, the discoverer or inventor of the Internet, is also an engineer and technology evangelist. #VintCerf #Internet #Engineer #TechnologyEvangelist","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.0,9.632360550936895,40.0
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Talisker distillery is located in the administrative territorial entity of Highland (council area), which is located in the administrative territorial entity of Scotland.","Talisker distillery is located in Highland, Scotland.",Talisker distillery is located in the Highland council area of Scotland.,"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",0.0,31.36040874303202,56.14673028462954
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France. Lyon is twinned with Łódź, Poland and Milan, Italy.",Did you know that the Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon? It is also twinned with Łódź and Milan.,"The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France. Lyon is twinned with Łódź, Poland and Milan, Italy.","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",79.39442731029277,55.41049918326015,79.39442731029277
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Tear down this wall! is a famous speech by Ronald Reagan, the 40th President of the United States, delivered on June 12, 1987, at the Brandenburg Gate in West Berlin, Germany. The speech is famous for its main subject, the Berlin Wall, and its author, Ronald Reagan. The speech is also famous for its location, the Brandenburg Gate, and its main subject, the Berlin Wall. The speech is also famous for","Ronald Reagan was the president of the United States. He was born in the United States and died in Bel Air, Los Angeles. He is different from Ich bin ein Berliner. He is the author of Tear down this wall! Tear down this wall! is different from Ich bin ein Berliner. Tear down this wall! is about the Berlin Wall. The Berlin Wall is located at the Brandenburg Gate.","""On June 12, 1987, President Ronald Reagan delivered his famous ""Tear down this wall!"" speech at the Brandenburg Gate in Berlin, Germany. The speech was a call for the Berlin Wall to be torn down and for the reunification of Germany. The speech was a significant moment in the Cold War and is remembered as a symbol of freedom and democracy.""","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",236.6261128941552,51.16250987918572,310.6144683494542
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Hydrogen was discovered by Henry Cavendish. Hydrogen is different from Hydrogen atom.,Hydrogen is a chemical element with symbol H and atomic number 1. It is the lightest and most abundant element in the Universe. Henry Cavendish discovered hydrogen in 1766. Hydrogen is different from hydrogen atom.,"Hydrogen was discovered by Henry Cavendish, but it is different from the Hydrogen atom. #Hydrogen #Science #Discovery","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",14.150208855799514,198.51817405473767,42.151328617577974
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","Europe is a continent located in the Northern Hemisphere and mostly in the Eastern Hemisphere. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, and the Mediterranean Sea to the south. It is the world's second-smallest continent by land area, covering about 10,180,000 square kilometres (3,930,000 sq mi) or 2% of the Earth","Europe is a continent located in the Northern Hemisphere and mostly in the Eastern Hemisphere. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, and the Mediterranean Sea to the south. The continent is divided into two main regions: Western Europe and Eastern Europe. The continent is home to many different cultures and languages.","Europe is a continent located in the Eastern Hemisphere and is bordered by the Atlantic Ocean to the west and the Mediterranean Sea to the south. The continent is home to a diverse range of cultures, languages, and histories, with a rich and complex history dating back to ancient times. The continent is divided into several regions, including Eastern Europe, which is located in the eastern part of the continent. The time zone in Europe is known as Kaliningrad Time, which","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",476.1988355326432,331.5324581758657,420.32664654718747
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of Metal, which is a subclass of Material and Alloy.",Vanadium is a metal. Metals are materials. Metals are alloys.,Vanadium is a metal that is an instance of the class of metals. It is also a subclass of the class of materials and a subclass of the class of alloys.,"{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",0.0,41.72689072896387,67.5722623904046
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subfield of astronomy that studies the origin, evolution, distribution, and future of life in the universe. The history of astronomy can be traced back to the earliest civilizations, who observed the night sky and recorded the movements of the stars and planets. Astronomy is a branch of physical science that studies celestial objects and phenomena, including the sun, moon, planets, stars, galaxies, and the universe as a whole.","Astrobiology is a sub-branch of astronomy. It is the study of life in the universe and the search for extraterrestrial life. Astronomy is the study of celestial objects and phenomena that originate outside the Earth's atmosphere. It is a branch of science that deals with the study of the universe and its contents, including stars, planets, galaxies, and the interstellar medium. The history of astronomy dates back to ancient times,","Astrobiology is a subfield of astronomy that studies the origin, evolution, distribution, and future of life in the universe. Astronomy is a branch of physical science that studies celestial objects and phenomena, including the history of astronomy.","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",478.1315239790458,461.7500604973648,234.32414070495014
