triples,academic,oral,twitter
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta, a type of noodle, is made from wheat flour and is partially coincident with banh and noodle. Its country of origin is the Kingdom of Italy, and it is described by source as grosses vollständiges Universal-Lexicon. However, it is not of Chinese origin.","Hey, have you heard of Pasta? It's like, partially coincident with Noodle, right? And it's made from Wheat flour, which is pretty cool. Oh, and it's originally from the Kingdom of Italy, but it's also described in Grosses vollständiges Universal-Lexicon. Wait, what? China? Yeah, it's also from China, I guess. And it has this part called Durum, which","Pasta, a delicious dish that can be made with various ingredients! 🍝👨‍🍳 Did you know that pasta is partially coincident with noodles? 🤔🍝 It's also made from wheat flour 🌾🍞 and has its origins in the Kingdom of Italy 🇮🇹? 🤝"
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a Chilean statesman, hailed from a country that boasts the Chilean peso as its currency and a geography characterized by a diverse range of landscapes, from the Andes mountains to the Pacific coast.","Oh, you want to know about Chile? Well, Augusto Pinochet, the former dictator of Chile, was born in Chile. Chile has its own currency, the Chilean peso, and it's located in South America, you know? It's a beautiful country with a diverse geography, from the Andes mountains to the Pacific coast.","Explore Chile 🇨🇱, land of the Chilean peso 💰 and home of the infamous Augusto Pinochet 👀. Geography buffs, take note! #Chile #Geography #Pinochet"
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, an engineer and technology evangelist, is credited as one of the inventors of the Internet.
Note: The output text should be written in a formal, objective tone, avoiding contractions and using Latinate roots.","Oh, you know, Vint Cerf is like the father of the internet, right? He's an engineer and a technology evangelist, and he's been instrumental in the development of the internet. He's like, the guy who made it all possible!","Meet Vint Cerf, the co-inventor of the internet 💻! As an engineer 🔧 and technology evangelist 📣, he's dedicated to advancing the field of computer science.#VintCerf #Internet #Technology"
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Talisker distillery is located in the administrative territorial entity of Highland (council area), which is situated in Scotland.","Oh, you know, Talisker distillery is located in the Highland council area, which is in Scotland, right?","Explore the Talisker distillery 🏴󠁧󠁢󠁳󠁣󠁴󠁿, located in the beautiful Highland council area 🏔️ of Scotland! #TaliskerDistillery #Highland #Scotland"
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, and is twinned with the administrative bodies of Łódź and Milan.","Hey, have you heard about the Museum of Fine Arts of Lyon? It's located in the 1st arrondissement of Lyon, you know? And did you know that Lyon is twinned with Łódź and Milan?","Explore the vibrant city of Lyon 🏙️, home to the Museum of Fine Arts 🎨 located in the 1st arrondissement 📍, twinned with Łódź 🇵🇱 and Milan 🇮🇹. #Lyon #MuseumOfFineArts #TwinnedCities"
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Tear down this wall! is the main subject of Ronald Reagan, who is an American politician and the 40th President of the United States. He delivered this famous speech on Brandenburg Gate, Berlin, Germany, on June 12, 1987. Ich bin ein Berliner (I am a Berliner) is different from Tear down this wall!. Ronald Reagan passed away on June 5, 2004, at Bel Air, Los Angeles","Oh, you know, like, Tear down this wall! Yeah, that was like, Ronald Reagan's thing, right? He was like, the President of the United States and he said that, like, ""Mr. Gorbachev, tear down this wall!"" And it was like, a big deal, you know? It was like, a symbol of, like, the Cold War and stuff. But, like, Ich bin ein Berliner, you know?","Did you know that Ronald Reagan, the 40th President of the United States, famously said ""Tear down this wall!"" in reference to the Berlin Wall? 🗣️🏰 While Ich bin ein Berliner (I am a Berliner) is a popular phrase associated with Berlin, Tear down this wall! is the main subject of discussion. 🤔👀 #TearDownThisWall #BerlinW"
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Henry Cavendish discovered hydrogen, which is distinct from hydrogen atoms.","Oh, you want to know about Hydrogen? Well, it was discovered by Henry Cavendish, you know. And it's different from a Hydrogen atom, right?","Did you know that hydrogen was discovered by Henry Cavendish in 1766? 🔬👨‍🔬 Unlike hydrogen atoms, hydrogen is a gas at room temperature! 💡🔮 #Hydrogen #ScienceFacts #Discovery"
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The river Po is located in the continent of Europe, and its history of topic spans across the Eastern Europe, where it is situated in the Kaliningrad Time zone.","Hey, have you heard about the history of Europe? It's really interesting! Europe is located in the Kaliningrad Time zone and has part of Eastern Europe. Do you know that the continent of Europe is home to the Po River?","Europe, a vast and diverse continent, has a rich history spanning millennia! 🇪🇺 From the ancient civilizations of Greece and Rome, to the modern-day nations of Eastern Europe, there's so much to explore! 🕰️🗺️ #Europe #History #EasternEurope"
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium, being an instance of Metal, is a subclass of Material, and is also a subclass of Alloy.","Oh, you're talking about Vanadium? It's a type of metal, you know? Like, it's an instance of metal, and it's also a subclass of material. And, uh, it's also an alloy, right? So, yeah, Vanadium is a type of metal.",Did you know that Vanadium is a type of Metal? 🔨💡 It's also a subclass of Material and an Alloy! #Vanadium #Metal #Material #Alloy
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astronomy, a historical topic, is a subclass of outlined physical science, which includes the study of astrobiology.
Note: The input triple should be provided in the format of '<subj>[subjection]<rel>[relation]<obj>[objection]' separated by a space.","Hey, have you heard of Astrobiology? It's a subclass of Astronomy! You know, Astronomy has a rich history of topics, like the History of Astronomy. And, did you know that Astronomy is also a subclass of Outline of Physical Science?","Explore the fascinating history of astronomy 🔭, a branch of outlined physical science 🔬, and learn about its subclass of astrobiology 🌌.#Astronomy #HistoryOfAstronomy #OutlineOfPhysicalScience"
