triples,academic,oral,twitter
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']",Pasta is partially coincident with Bánh and Noodle. It is made from Wheat flour. The Kingdom of Italy is the country of origin. This term is described by Grosses vollständiges Universal-Lexicon. China is also cited as the country of origin. Pasta has a part known as Durum.,"I think I know what pasta is. It's like... um... Bánh and Noodle, right? But, actually, it's made of wheat flour. And, I think, it comes from Italy. I read that somewhere, like in the Grosses vollständiges Universal-Lexicon. But, I also found out that it comes from China. And, I guess, it's made of durum.","🍝 Pasta is a dish partially coincident with Bánh and Noodle, made from Wheat flour, originating from Italy and China, and has a part called Durum. #Pasta #Food #Italy #China"
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']",Augusto Pinochet is a citizen of Chile. The currency of Chile is the Chilean peso. The geography of Chile pertains to the topic of Geography of Chile.,"I'm trying to learn about Chile. Um, it's a country, right? And, uh, the country of citizenship of Augusto Pinochet is Chile. And, hmmm, what's the currency of Chile? Oh, it's the Chilean peso. And, uh, what about the geography of Chile? It's, uh, the geography of Chile. I think I need to learn more about it.",Meet Augusto Pinochet! This Chilean citizen 🇨🇱 uses the Chilean peso 💸 currency and is part of the Geography of Chile topic. #AugustoPinochet #Chile #GeographyOfChile
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']",Vint Cerf is the discoverer or inventor of the Internet. He is an engineer and a technology evangelist.,You know who invented the Internet? It was Vint Cerf. And he is an engineer and a technology evangelist.,"Meet Vint Cerf! 🤖 This Internet inventor, who is also an Engineer and Technology evangelist, is the discoverer or inventor of the Internet. #VintCerf #Internet #Engineer #TechnologyEvangelist"
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","The Talisker distillery is situated in the Highland council area, which is located in Scotland.","'I was looking into Talisker distillery. It's located in... uh... Highland council area. And Highland council area, I think, is in Scotland.'","Discover the Talisker distillery! 🍸 Located in the Highland council area, which is part of Scotland. #TaliskerDistillery #Scotland #Highland"
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon. Lyon is twinned with Łódź and Milan.,"Do you know the Museum of Fine Arts of Lyon? It is located in Lyon. I think Lyon is a city in France, right? Lyon is twinned with Łódź and Milan.",The Museum of Fine Arts of Lyon is located in Lyon's 1st arrondissement and Lyon. Lyon is twinned with Łódź and Milan. 🏛️ #Lyon #MuseumOfFineArts #Lodz #Milan
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Tear down this wall! is a phrase different from Ich bin ein Berliner. The main subject of the phrase is the Berlin Wall. Ronald Reagan is the author of the phrase. The phrase is different from Ich bin ein Berliner. The location of the phrase is the Brandenburg Gate. Ronald Reagan was a citizen of the United States and died in Bel Air, Los Angeles. 
Note: The output text is generated based on the input triples, and it may not be a coherent or meaningful text","I'm a Berliner. You know, Tear down this wall! It's like, the main subject is the Berlin Wall. And, uh, the famous phrase was said by Ronald Reagan. It's different from I'm a Berliner. And, uh, it was said at the Brandenburg Gate. Ronald Reagan, he's from the United States. And, uh, he died in Bel Air, Los Angeles.","Ronald Reagan, a US citizen 🇺🇸, is the author of 'Tear down this wall!' 🗣️, which is different from 'Ich bin ein Berliner'! 🇩🇪 #RonaldReagan #BerlinWall #TearDownThisWall #BrandenburgGate"
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Hydrogen was discovered by Henry Cavendish. Hydrogen is different from the hydrogen atom.,"'Hydrogen, you know, it was discovered by Henry Cavendish. I mean, I think it was him. And, uh, it's different from, like, a hydrogen atom or something.'",Meet Hydrogen! This element was discovered by Henry Cavendish and is different from Hydrogen atom. #Hydrogen #HenryCavendish
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']",The Po river is located in Europe. Europe is a historical topic. Europe is situated in the Kaliningrad Time zone. Europe comprises Eastern Europe.,"I was reading about the Po river. It is located in Europe. Europe is a continent with a rich history. It is in the Kaliningrad Time zone. And, uh, Europe has Eastern Europe as part of it.","Discover the Po river in Europe! 🌊 Europe is a continent with a rich history 📚, located in the Kaliningrad Time zone. It's also part of Eastern Europe. #Europe #PoRiver #KaliningradTime #EasternEurope"
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",Vanadium is an instance of Metal. Metal is a subclass of Material and Alloy.,"I was reading about Vanadium. It is a type of Metal. And Metal is a subclass of Material. And also, Metal is a subclass of Alloy.","Vanadium is a Metal, which is a subclass of Material and Alloy. #Vanadium #Metal #Material #Alloy"
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']",Astrobiology is a subclass of Astronomy. The history of Astronomy is a topic in the History of astronomy. Astronomy is a subclass of the Outline of physical science.,"I was reading about Astrobiology. It's a subclass of Astronomy. And, uh, I was thinking about the history of Astronomy. It's actually a part of History of astronomy. And, you know, Astronomy is a subclass of Outline of physical science.","Astrobiology is a subclass of Astronomy 🌠. Astronomy has a rich history, dating back to the History of astronomy. It's also a subclass of Outline of physical science. 🚀 #Astrobiology #Astronomy #PhysicalScience"
"['<subj>Paul_Otlet<rel>occupation<obj>Lawyer', '<subj>Paul_Otlet<rel>occupation<obj>Writer', '<subj>Paul_Otlet<rel>occupation<obj>Librarian']","Paul Otlet was a Lawyer, a Writer, and a Librarian.","Paul Otlet, he was a... a... lawyer, and also a writer, and a librarian. Yeah, he had many occupations.","Meet Paul Otlet! He was a Lawyer, Writer, and Librarian. 📚 #PaulOtlet #Lawyer #Writer #Librarian"
"['<subj>Germany<rel>located in or next to body of water<obj>Baltic_Sea', '<subj>Baltic_Sea<rel>basin country<obj>Germany', '<subj>Baltic_Sea<rel>basin country<obj>Russia', '<subj>Baltic_Sea<rel>basin country<obj>Finland']",Germany is located in or next to the Baltic Sea. The Baltic Sea is a body of water that is basin country to Germany. The Baltic Sea is a body of water that is basin country to Russia. The Baltic Sea is a body of water that is basin country to Finland.,"I was thinking about the Baltic Sea. It's located next to Germany. Germany is a basin country of the Baltic Sea. And, uh, Russia and Finland are also basin countries of the Baltic Sea.","Germany is located next to the Baltic Sea 🌊, which is also home to Russia 🇷🇺 and Finland 🇫🇮. #BalticSea #Germany #Russia #Finland"
"['<subj>World_War_II<rel>instance of<obj>World_war', '<subj>World_War_II<rel>has cause<obj>Adolf_Hitler', '<subj>World_War_II<rel>has cause<obj>Causes_of_World_War_II', '<subj>World_War_II<rel>has cause<obj>Treaty_of_Versailles']","World War II is an instance of World war. The causes of World War II include Adolf Hitler, the causes of World War II, and the Treaty of Versailles.","I think you know what World War II is. It's like an instance of World War. But, you know, it was caused by Adolf Hitler. And also, the Treaty of Versailles. And, um, there are other causes, I think. Like, the Causes of World War II.",World War II was caused by Adolf Hitler and the Treaty of Versailles. It is an instance of World war. #WorldWarII #CausesOfWWII
"['<subj>Tours<rel>instance of<obj>Communes_of_France', '<subj>Tours<rel>shares border with<obj>La_Riche', '<subj>Tours<rel>shares border with<obj>Joué-lès-Tours', '<subj>Joué-lès-Tours<rel>twinned administrative body<obj>Santa_Maria_da_Feira']",Tours is an instance of Communes of France. Tours shares borders with La Riche and Joué-lès-Tours. Joué-lès-Tours is twinned with Santa Maria da Feira.,Tours is a commune in France. It shares borders with La Riche and Joué-lès-Tours. Joué-lès-Tours is twinned with Santa Maria da Feira.,Discover Tours! 🌆 This French commune shares borders with La Riche and Joué-lès-Tours. Joué-lès-Tours is also twinned with Santa Maria da Feira. #Tours #France #Commune #LaRiche #JouéLèsTours #SantaMariaDaFeira
"['<subj>Groningen<rel>twinned administrative body<obj>Kaliningrad', '<subj>Kaliningrad<rel>contains administrative territorial entity<obj>Leningradsky_Administrative_District,_Kaliningrad']","Groningen is twinned with Kaliningrad. Kaliningrad contains the administrative territorial entity Leningradsky Administrative District, Kaliningrad.","Groningen is twinned with Kaliningrad. And, uh, Kaliningrad contains Leningradsky Administrative District.","Groningen is twinned with Kaliningrad, which contains Leningradsky Administrative District. 🌎 #Groningen #Kaliningrad #TwinCities"
