triples,academic,oral,twitter,seen,academic_coverage,oral_coverage,twitter_coverage
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta partially coincides with both Bánh and Noodle. The material used in the production of pasta is wheat flour. The country of origin of pasta is a matter of debate, with both the Kingdom of Italy and China being cited as possible sources. The Grosses vollständiges Universal-Lexicon provides a description of pasta. Furthermore, pasta has a component known as durum.","Interviewer: So, let's talk about pasta. I mean, where did it originate from? 
Interviewee: Ah, um, well, you know, it's, uh, partially coincident with Bánh, and, uh, Noodle, right? 
Interviewee: But, if I'm not mistaken, it originated from, uh, the Kingdom of Italy, and, um, also China. 
Interviewee: Yeah, I think that's right. And, uh","""Did you know that pasta is partially coincident with Bánh 🍜 and Noodle 🍜? It's made from wheat flour 🌾, originated from the Kingdom of Italy 🇮🇹, and even has a part called Durum 🌾. It's also mentioned in the Grosses vollständiges Universal-Lexicon 📚. #PastaLover #Foodie #ItalianCuisine""","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",0.7692307692307693,0.46153846153846156,0.6153846153846154
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","The nation of Chile, whose geographical characteristics are delineated in the Geography of Chile, is the country of citizenship of Augusto Pinochet. Furthermore, the Chilean peso serves as the official currency of Chile.","""Uh, so, I was thinking about Augusto Pinochet, and, um, I think he was from Chile, right? I mean, he was a citizen of Chile, wasn't he? (pauses) Anyway, I was also thinking about Chile, and, you know, their currency is the Chilean peso, right? (nods) And, oh, have you ever looked at the geography of Chile? I mean, it's really interesting, you know?","""Did you know that Augusto Pinochet was a citizen of Chile 🇨🇱? Chile's currency is the Chilean peso 💸. The country's geography is quite unique, too! 🌄 #Chile #AugustoPinochet #GeographyOfChile""","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",0.8571428571428571,0.7142857142857143,0.5714285714285714
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, the discoverer or inventor of the Internet, is a multifaceted individual with a diverse range of professional pursuits. In addition to his role as the progenitor of the global network, he is also an engineer, bringing a technical expertise to his work. Furthermore, Cerf is a technology evangelist, utilizing his position to promote and advocate for the advancement of technological innovations.","Interviewer: So, Vint Cerf, you're often credited as the discoverer or inventor of the Internet. How does that feel?
Vint Cerf: (laughs) Well, it's a great honour, I must say. I mean, it's not something I set out to do, but I'm proud to have played a part in its development.
Interviewer: That's amazing. And, if I'm not mistaken, you're an engineer by profession?
Vint","""Did you know that Vint Cerf, the discoverer of the internet, is not only an engineer but also a technology evangelist? 🤖💻 #VintCerf #InternetPioneer #TechLegend""","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.8333333333333334,0.6666666666666666,0.6666666666666666
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","The Talisker distillery is situated within the Highland council area, which is itself located within the country of Scotland.","Interviewer: So, I've heard that Talisker distillery is located in the Highland council area. Is that correct?
Interviewee: Ah, yeah... that's right. Talisker distillery is indeed located in the Highland council area.
Interviewer: And, uh, where is the Highland council area located?
Interviewee: (pauses) Oh, it's, uh, in Scotland. Yeah, the Highland council area is located in Scotland.","'Did you know that the Talisker distillery is located in the Highland council area, which is in Scotland? 🏴󠁧󠁢󠁳󠁣󠁴󠁿 #Talisker #Highland #Scotland'","{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",0.5,0.5,0.5
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is situated within the 1st arrondissement of Lyon, a municipal entity that constitutes a part of the city of Lyon. Lyon, in turn, maintains a twinned administrative relationship with the cities of Łódź and Milan.","Oh, you know, I was just thinking, have you ever been to the Museum of Fine Arts of Lyon? I mean, it's located in the 1st arrondissement of Lyon, right? And, um, Lyon itself is a pretty cool city, I think. I mean, it's twinned with Łódź and Milan, you know? So, yeah, the museum is definitely worth a visit if you're in the area. I'm really excited to go","""Did you know that the Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, which is also located in Lyon? 🎨🗺️ Lyon is also twinned with Łódź and Milan! 🌍 #Lyon #MuseumOfFineArts #ArtLovers #CityTwins""","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",0.7142857142857143,0.7142857142857143,0.7142857142857143
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","The phrase ""Ich bin ein Berliner"" is distinct from the phrase ""Tear down this wall!"", which served as the primary subject of the Berlin Wall. The latter phrase was famously uttered by Ronald Reagan, the 40th President of the United States, at the Brandenburg Gate. Conversely, the phrase ""Tear down this wall!"" is also distinct from ""Ich bin ein Berliner"". Notably, Ronald Reagan, the author of the aforementioned phrase, held American citizenship and passed away","""Uh, I'm trying to remember, you know, that famous speech by Ronald Reagan. Yeah, it was, uh, 'Tear down this wall!' You know, the one he gave at the Brandenburg Gate. I mean, it's so different from that other famous phrase, 'Ich bin ein Berliner.' I think that was, uh, John F. Kennedy, right? Anyway, Reagan's speech was all about the Berlin Wall, and, you know, it's","""Did you know that Ronald Reagan, the former President of the United States, famously said ""Tear down this wall!"" in front of the Brandenburg Gate? 🏛️🇺🇸 This iconic speech was different from his ""Ich bin ein Berliner"" moment, but both were significant in Berlin's history! 🇩🇪 #BerlinWall #RonaldReagan #USHistory""","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",0.5384615384615384,0.46153846153846156,0.46153846153846156
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Hydrogen, a chemical element, was discovered by Henry Cavendish. It is distinct from the hydrogen atom, a subatomic particle.","Interviewer: So, uh, hydrogen, right? Who, uh, discovered it?
Interviewee: Ah, yeah, that would be, um, Henry Cavendish.
Interviewer: Henry Cavendish, okay. So, hydrogen, it's, uh, different from, uh, hydrogen atom, right?
Interviewee: Yeah, that's correct. They're not the same thing.","""Did you know that Hydrogen was discovered by Henry Cavendish? 🤔 Also, Hydrogen is different from Hydrogen atom! 💡 #Hydrogen #HenryCavendish #ScienceFacts""","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.6,0.8,0.8
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The Po River is situated on the continent of Europe. Europe has a rich and varied history, which is extensively documented in the History of Europe. Furthermore, Europe is located in the Kaliningrad Time time zone. In addition, Europe comprises several distinct regions, including Eastern Europe.","So, uh, I was thinking about the Po River, and, you know, it's in Europe, right? I mean, Europe has a really long history, and, um, I think it's really interesting. I was reading about it, and, apparently, it's located in, like, the Kaliningrad Time zone, which is, you know, pretty cool. And, oh, I just remembered that Europe has, like, Eastern Europe as a part of it,","""Did you know that the Po river is located in Europe? 🌍 Europe has a rich history, spanning centuries! 📚 And, did you know that Eastern Europe is a part of the continent? 🌍 Plus, Europe is also home to the Kaliningrad Time zone! 🕰️ #Europe #History #Geography""","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",0.5555555555555556,0.3333333333333333,0.4444444444444444
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of metal, which is a subclass of material and alloy.","Vanadium is an instance of metal, right? I mean, it's a metal, and metal is a subclass of material, and also, metal is a subclass of alloy. So, vanadium is a metal, and metal is a subclass of material and alloy. Yeah, that's right. I'm pretty sure about that. I mean, it makes sense, doesn't it? Vanadium is a metal, and metal is a type of material and alloy. Yeah, I'm sure","""Did you know that Vanadium is an instance of Metal? 🤔💡 And, Metal is a subclass of both Material and Alloy! 📚💡 #Vanadium #Metal #MaterialScience #Alloy""","{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",1.0,1.0,1.0
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subclass of Astronomy, which itself has a rich history of topic, as delineated in the History of astronomy. Furthermore, Astronomy is a subclass of the broader Outline of physical science.","Astrobiology is a subclass of astronomy. You know, astronomy has a rich history, right? I mean, it's been around for ages. The history of astronomy is actually documented in the history of astronomy. And, um, astronomy is a subclass of the outline of physical science. I guess what I'm trying to say is that astrobiology is a part of a bigger field, you know?",'Did you know that Astrobiology is a subclass of Astronomy? 🚀👽 #Astrobiology #Astronomy #SpaceScience',"{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",1.0,0.8333333333333334,0.5
