triples,academic,oral,twitter,seen,academic_coverage,oral_coverage,twitter_coverage
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is partially coincident with Bánh, Noodle, and Durum. Pasta is partially coincident with Bánh, Noodle, and Durum. Pasta is partially coincident with Bánh, Noodle, and Durum. Pasta is partially coincident with Bánh, Noodle, and Durum. Pasta is partially coincident with Bánh, Noodle, and Durum. Pasta is partially coinc","Pasta is a type of noodle made from wheat flour and originating in Italy. It is also partially coincident with Bánh, a type of Vietnamese noodle. Pasta is also partially coincident with noodles, which are made from wheat flour and originating in China.","Pasta is partially coincident with Bánh, Noodle, and Durum. It is made of Wheat_flour and originated in the Kingdom of Italy and China. It is described by Grosses_vollständiges_Universal-Lexicon.","{'Bánh', 'country of origin', 'Wheat flour', 'described by source', 'partially coincident with', 'Kingdom of Italy', 'Noodle', 'material used', 'Pasta', 'Durum', 'China', 'Grosses vollständiges Universal-Lexicon', 'has part'}",0.38461538461538464,0.46153846153846156,0.6923076923076923
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet was a Chilean citizen. The Chilean peso is the currency of Chile. The geography of Chile is the subject of the article ""Geography of Chile"".","'Augusto Pinochet was a Chilean dictator who ruled the country from 1973 to 1990. He was born in Valparaiso, Chile in 1915 and died in Santiago, Chile in 2006. He was a controversial figure in Chilean history, and his legacy is still debated today. The Chilean peso is the official currency of Chile. It is divided into 100 cent","'Augusto Pinochet was a Chilean dictator who ruled from 1973 to 1990. Chile is a country located in South America with a currency of the Chilean peso. The geography of Chile is diverse, with a long coastline, the Andes mountains, and the Atacama Desert.'","{'Chilean peso', 'country of citizenship', 'Augusto Pinochet', 'Chile', 'Geography of Chile', 'geography of topic', 'currency'}",0.7142857142857143,0.5714285714285714,0.7142857142857143
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf is the discoverer or inventor of the Internet, and he is also an engineer and a technology evangelist.",Vint Cerf is the discoverer or inventor of the Internet. He is also an engineer and a technology evangelist.,Vint Cerf is a technology evangelist and engineer who discovered or invented the Internet.,"{'Vint Cerf', 'discoverer or inventor', 'Technology evangelist', 'Internet', 'Engineer', 'occupation'}",0.8333333333333334,0.8333333333333334,0.6666666666666666
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","'Talisker distillery is located in the administrative territorial entity of Highland, which is located in the administrative territorial entity of Scotland.'","Talisker distillery is located in the administrative territorial entity of Highland council area, which is located in the administrative territorial entity of Scotland.",Talisker distillery is located in the Highland council area of Scotland.,"{'Scotland', 'Talisker distillery', 'Highland (council area)', 'located in the administrative territorial entity'}",0.75,0.75,0.5
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon. The Museum of Fine Arts of Lyon is located in the city of Lyon. The city of Lyon is twinned with the city of Łódź. The city of Lyon is twinned with the city of Milan.,"The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France. The Museum of Fine Arts of Lyon is located in Lyon, France. Lyon is twinned with Łódź, Poland. Lyon is twinned with Milan, Italy.","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France. The Museum of Fine Arts of Lyon is located in Lyon, France. Lyon is twinned with Łódź, Poland. Lyon is twinned with Milan, Italy.","{'Museum of Fine Arts of Lyon', 'Milan', 'located in the administrative territorial entity', 'twinned administrative body', 'Lyon', 'Łódź', '1st arrondissement of Lyon'}",0.7142857142857143,0.7142857142857143,0.7142857142857143
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","The phrase ""Tear down this wall!"" is different from the phrase ""Ich bin ein Berliner"". The phrase ""Tear down this wall!"" is the main subject of the Berlin Wall. The phrase ""Tear down this wall!"" was authored by Ronald Reagan. The phrase ""Tear down this wall!"" is different from the phrase ""Ich bin ein Berliner"". The phrase ""Tear down this wall!"" was located at the Brandenburg Gate. Ronald Reagan was a","The phrase ""Tear down this wall!"" was different from ""Ich bin ein Berliner."" The phrase ""Tear down this wall!"" was the main subject of the Berlin Wall. The phrase ""Tear down this wall!"" was authored by Ronald Reagan. The phrase ""Tear down this wall!"" was different from ""Ich bin ein Berliner."" The phrase ""Tear down this wall!"" was located at the Brandenburg Gate. Ronald Reagan was a citizen of the","'Tear down this wall!' is a famous speech by Ronald Reagan, the 40th President of the United States, delivered on June 12, 1987, in West Berlin, Germany. The speech is notable for its call for the Berlin Wall to be torn down, which was a symbol of the Cold War and the division of Germany. The speech was delivered at the Brandenburg Gate, which was located in East Berlin and was a symbol of the division of","{'author', 'location', 'United States', 'Ich bin ein Berliner', 'Ronald Reagan', 'Brandenburg Gate', 'place of death', 'Bel Air, Los Angeles', 'country of citizenship', 'main subject', 'Berlin Wall', 'Tear down this wall!', 'different from'}",0.6153846153846154,0.6153846153846154,0.38461538461538464
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Hydrogen was discovered by Henry Cavendish. Hydrogen is different from the hydrogen atom.,Hydrogen was discovered by Henry Cavendish. Hydrogen is different from the hydrogen atom.,"'Hydrogen was discovered by Henry Cavendish, but it is different from the Hydrogen atom.'","{'Henry Cavendish', 'Hydrogen atom', 'Hydrogen', 'discoverer or inventor', 'different from'}",0.8,0.8,0.8
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","Europe is a continent located in the Northern Hemisphere and mostly in the Eastern Hemisphere. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, and the Mediterranean Sea to the south. The continent of Europe has a long and complex history, dating back to ancient times. The continent is located in the Kaliningrad Time Zone, which is two hours ahead of Coordinated Universal Time (UTC). Eastern Europe is a region of","Europe is a continent located in the Northern Hemisphere and mostly in the Eastern Hemisphere. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, and the Mediterranean Sea to the south. Europe is the second-smallest continent by land area, covering about 10.18 million square kilometers or 2% of the Earth's surface and about 6.8% of its land area. Europe is the third","Europe is a continent located in the Northern Hemisphere and is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, and the Mediterranean Sea to the south. The continent is divided into two main regions: Western Europe and Eastern Europe. The history of Europe dates back to ancient times, with the earliest known civilizations emerging in the region around 3000 BC. Today, Europe is home to a diverse range of cultures, languages,","{'Po (river)', 'History of Europe', 'history of topic', 'Europe', 'continent', 'Eastern Europe', 'Kaliningrad Time', 'located in time zone', 'has part'}",0.4444444444444444,0.2222222222222222,0.4444444444444444
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of the metal class, which is a subclass of the material class and a subclass of the alloy class.","Vanadium is an instance of the metal class, which is a subclass of the material class, and is also a subclass of the alloy class.","Vanadium is an instance of the metal class, which is a subclass of the material class and the alloy class.","{'Material', 'instance of', 'subclass of', 'Alloy', 'Metal', 'Vanadium'}",1.0,1.0,1.0
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subfield of astronomy that studies the origin, evolution, distribution, and future of life in the universe. Astronomy is a branch of science that studies celestial objects and phenomena that originate outside the Earth's atmosphere. The history of astronomy dates back to ancient times, with the earliest recorded observations of celestial objects dating back to the Babylonians and Egyptians. Astronomy is a subfield of physical science that studies the",Astrobiology is a subclass of astronomy. Astronomy is a history of topic of history of astronomy. Astronomy is a subclass of outline of physical science.,Astrobiology is a subclass of astronomy. Astronomy is a history of topic in the history of astronomy. Astronomy is a subclass of the outline of physical science.,"{'Astronomy', 'Astrobiology', 'subclass of', 'Outline of physical science', 'History of astronomy', 'history of topic'}",0.5,1.0,1.0
