triples,academic,oral,twitter,seen,academic_coverage,oral_coverage,twitter_coverage
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']",Pasta is a type of noodle that is partially coincident with Bánh. It is also partially coincident with Noodle. Pasta is made from wheat flour and is a country of origin of the Kingdom of Italy. It is described by the source Grosses vollständiges Universal-Lexicon. Pasta is also a country of origin of China and has a part called Durum.,"""Pasta is partially coincident with Bánh. Pasta is partially coincident with Noodle. Pasta is made of Wheat_flour. Pasta is from the Kingdom of Italy. Pasta is described by Grosses_vollständiges_Universal-Lexicon. Pasta is from China. Pasta has part Durum.""","'Pasta is partially coincident with Bánh, Noodle, and Durum. It is made from wheat flour and originated in Italy and China. It is described by Grosses vollständiges Universal-Lexicon.'","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",0.7692307692307693,0.7692307692307693,0.6153846153846154
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet was a Chilean dictator who ruled the country from 1973 to 1990. He was born in Valparaíso, Chile, in 1915. Pinochet was a member of the Chilean Army and rose through the ranks to become General. He was appointed Commander-in-Chief of the Army in 1973, and led a military coup that overthrew the democrat","[Augusto Pinochet was a Chilean politician and military officer who served as the 30th president of Chile from 1973 to 1990. He was born in Valparaíso, Chile, and served in the Chilean Army from 1940 to 1990. He was a member of the National Party and the Independent Democratic Union. He was a member of the Chilean Congress from 1961 to","'Augusto Pinochet was a Chilean dictator who ruled the country from 1973 to 1990. He was known for his brutal regime and human rights abuses. The Chilean peso is the official currency of Chile. It is divided into 100 centavos. The geography of Chile is diverse, with the Andes mountains in the east and the Pacific Ocean in the west. The country is also known for its desert","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",0.2857142857142857,0.2857142857142857,0.7142857142857143
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']",Vint Cerf is an American computer scientist who is widely recognized as one of the fathers of the Internet. He is also known as a technology evangelist and an engineer.,"""Vint Cerf is the discoverer or inventor of the Internet. He is also an engineer and a technology evangelist.""",Vint Cerf is the discoverer or inventor of the Internet. He is also an engineer and a technology evangelist. #VintCerf #Internet #Engineer #TechnologyEvangelist,"{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.6666666666666666,0.8333333333333334,0.8333333333333334
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","'Talisker distillery is located in the administrative territorial entity of Highland, which is located in the administrative territorial entity of Scotland. Highland is located in the administrative territorial entity of Scotland.'","'Talisker distillery is located in the Highland council area, which is located in Scotland.'",'Talisker distillery is located in the Highland council area of Scotland. #scotland #whisky #highlands',"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",0.75,0.5,0.5
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France. The museum is located in the administrative territorial entity of Lyon, which is twinned with the administrative body of Łódź, Poland, and Milan, Italy.","""The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France. It is also located in the administrative territorial entity of Lyon, which is twinned with the administrative body of Łódź, Poland. Additionally, Lyon is twinned with the administrative body of Milan, Italy.""",'The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon. The museum is also located in the administrative territorial entity of Lyon. Lyon is twinned with the administrative body of Łódź and Milan. #MuseumOfFineArtsOfLyon #Lyon #Łódź #Milan',"{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",0.8571428571428571,0.8571428571428571,0.8571428571428571
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","The Berlin Wall was a barrier constructed by the German Democratic Republic (GDR, East Germany) starting on 13 August 1961, that completely cut off (by land) West Berlin from surrounding East Germany and from East Berlin. The barrier included guard towers placed along large concrete walls, which circumscribed a wide area (later known as the ""death strip"") that contained anti-vehicle trenches, ""fakir beds"" and","""Ich bin ein Berliner"" is a phrase that was used by President John F. Kennedy in a speech he gave in West Berlin on June 26, 1963. The phrase is a translation of the English phrase ""I am a Berliner."" The phrase is often used to refer to the Berlin Wall, which was built by the East German government in 1961 to prevent people from escaping to the West. The phrase is also used to refer to the Berlin","'Tear down this wall! is a famous speech by Ronald Reagan, the 40th President of the United States, at the Brandenburg Gate in West Berlin on June 12, 1987. The speech is considered one of the most iconic moments of the Cold War. The speech was a call for the Soviet Union to tear down the Berlin Wall, which had divided the city of Berlin since 1961. The speech was a powerful symbol","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",0.07692307692307693,0.15384615384615385,0.38461538461538464
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Hydrogen is a chemical element with the symbol H and atomic number 1. It is the lightest and most abundant element in the universe, making up about 75% of the mass of the universe and about 90% of the atoms. It is a colorless, odorless, tasteless, non-toxic, highly flammable diatomic gas. Hydrogen was discovered by Henry Cavendish in 1766, who recognized","'Hydrogen was discovered by Henry Cavendish in 1766. Hydrogen is different from the hydrogen atom, which is a single proton and a single electron.'","'Hydrogen was discovered by Henry Cavendish, but it's different from a Hydrogen atom.'","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.4,0.8,0.8
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","Europe is a continent located in the Northern Hemisphere and mostly in the Eastern Hemisphere. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, and the Mediterranean Sea to the south. It is the second-smallest continent by area, with an area of 10,180,000 square kilometres (3,930,000 sq mi). The history of Europe covers the people inhabiting","'Europe is a continent located in Eastern Europe. It has a rich history, including the Kaliningrad Time zone. The Po river is also located in Europe.'","'Po_(river) is a river in Europe. The continent of Europe has a rich history, dating back to the ancient Greeks and Romans. Europe is located in the Kaliningrad Time Zone, which is two hours ahead of Greenwich Mean Time. Eastern Europe is a region of Europe that includes countries such as Poland, Hungary, and Romania.'","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",0.3333333333333333,0.4444444444444444,0.5555555555555556
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",Vanadium is an instance of the metal class. Metals are a subclass of materials and alloys.,"Vanadium is a metal, which is a subclass of material. Metal is a subclass of alloy.","Vanadium is an instance of Metal, which is a subclass of Material and Alloy.","{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",1.0,0.8333333333333334,1.0
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subfield of astronomy that studies the origin, evolution, distribution, and future of life in the universe. It is an interdisciplinary field that combines aspects of astronomy, biology, chemistry, and geology to understand the conditions and processes that lead to the emergence and evolution of life on Earth and other planets.
The history of astronomy dates back to ancient civilizations, such as the Babylonians, Egypt",'Astrobiology is a subfield of astronomy. The history of astronomy is a topic in the history of science. Astronomy is a subfield of physical science.',"'Astrobiology is a subfield of astronomy that studies the origins, evolution, distribution, and future of life in the universe. The history of astronomy dates back to ancient times, with the earliest recorded observations of the night sky dating back to the Babylonians. Astronomy is a branch of physical science that studies celestial objects and phenomena, including the sun, moon, planets, stars, galaxies, and the universe as a whole.'","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",0.5,0.5,0.5
