triples,academic,oral,twitter,seen,academic_residual_info,oral_residual_info,twitter_residual_info
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is partially coincident with Bánh and Noodle. Pasta is made of wheat flour. Pasta originates from the Kingdom of Italy. According to Grosses vollständiges Universal-Lexicon, Pasta is described as a dish. Pasta is also from China and has a part called Durum.
Note: The output text may not be a complete sentence or a cohesive paragraph, but rather a collection of statements based on the","Speaker A: Pasta, huh? It's partially coincident with Bánh in Vietnamese.
Speaker B: Yeah, I know! And it's also partially coincident with Noodle.
Speaker A: Interesting. So, what's the material used to make Pasta?
Speaker B: Wheat flour, of course!
Speaker A: Ah, right! And what country of origin does Pasta have","Pasta is a food that partially coincides with noodle, and is made of wheat flour. It originates from the Kingdom of Italy, and is described by Grosses vollständiges Universal-Lexicon as ""a dish made from unleavened dough, often shaped into long, thin strands."" Some sources also claim that pasta has a part called durum. 🍝 #Pasta #Noodle #Whe","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",216.75305841959045,255.23059172554144,239.51671979316973
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a Chilean citizen, is of geographical significance in the field of geography, specifically in relation to the geography of Chile.","Speaker A: Did you know that Augusto Pinochet is from Chile?
Speaker B: Oh, really? What's the currency of Chile?
Speaker A: Chilean peso, of course! And have you heard about the geography of Chile? It's quite interesting.","Did you know that Augusto Pinochet, former President of Chile, is a citizen of Chile? 🇨🇱 Chile's currency is the Chilean peso 💰, and the country has a diverse geography 🏔️, including the Andes mountains and the Atacama Desert. #Chile #AugustoPinochet #Geography #Currency","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",107.63489973403081,169.42338168625858,221.3127501923535
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, an engineer and technology evangelist, is the discoverer or inventor of the Internet.

Note: The","Vint Cerf is the inventor of the internet! He is an engineer and a technology evangelist.

Note: The output text may not be verbatim as the generated text may contain slight variations in wording, tone, and language use based on the input provided.","Meet Vint Cerf, the inventor of the internet! 💻 An engineer by occupation and technology evangelist by heart, he is a pioneer in the field. #VintCerf #Internet #Inventor #Engineer","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",13.150208855799514,252.03668637988974,109.99208810429356
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']",Talisker Distillery is located in the administrative territorial entity of Highland (council area). Highland (council area) is located in the administrative territorial entity of Scotland.,Talisker Distillery is located in the Highland (council area) in Scotland.,Talisker Distillery is located in the administrative territorial entity of Scotland! 🏴󠁧󠁢󠁳󠁣󠁴󠁿 #TaliskerDistillery #Scotland #AdministrativeTerritorialEntity,"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",0.0,13.753650777128332,40.0
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, in the administrative territorial entity of Lyon. Lyon is twinned with Łódź and Milan.","Speaker A: Have you ever been to Lyon? It's located in the 1st arrondissement of Lyon.
Speaker B: Lyon? Yeah, I've been there. It's twinned with Łódź and Milan.
Speaker A: Really? That's interesting. So, um, where is it located in Lyon?
Speaker B: Uh, Lyon? Yeah, it's located in the administrative territorial entity of Lyon",Did you know that the Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon 🏙️? It's also twinned with Łódź 🇵🇱 and Milan 🇮🇹! 🎨 #MuseumOfFineArtsOfLyon #Lyon #TwinnedCities #Art,"{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",83.91082115085351,269.4845728179106,118.16646012107569
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ronald Reagan, an American, is the author of the phrase ""Tear down this wall!"" which is different from ""Ich bin ein Berliner."" The Berlin Wall, located at Brandenburg Gate, was torn down by Ronald Reagan. He was born in the United States and passed away in Bel-Air, Los Angeles.","Speaker A: I'm from Berlin, you know. *chuckles* Different from ""Tear down this wall!"" *laughs*
Speaker B: Oh, yeah? What's the difference? *smirks*
Speaker A: *smiling* Well, Ronald Reagan said that. *nods*
Speaker B: *raises an eyebrow* Really? *intrigued*
Spe","Ronald Reagan's famous speech 🗣️ ""Tear down this wall!"" was different from Ich bin ein Berliner 🗽️, but both are iconic in Berlin's history 🏛️. #RonaldReagan #TearDownThisWall #BerlinWall #BrandenburgGate #UnitedStates #BelAir #LosAngeles","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",153.93968934560775,356.36262982078676,244.2368198326052
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Henry Cavendish is the discoverer or inventor of hydrogen. Hydrogen is different from the hydrogen atom.,Henry Cavendish is the discoverer or inventor of hydrogen. Hydrogen is different from hydrogen atom.,"Henry Cavendish is the discoverer or inventor of hydrogen 💡, but did you know that hydrogen is different from hydrogen atoms? 🔬 #Hydrogen #HenryCavendish #Chemistry","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.0,0.0,65.60890353049122
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","Po (river) is located in Europe, which has a rich history of topic, Europe, and is situated in the Kaliningrad Time zone. Additionally, Europe has a part called Eastern Europe.","Speaker A: So, have you heard about Europe? It's located in the continent of Europe.
Speaker B: Yes, of course! Europe has a rich history, right?
Speaker A: Exactly! The history of Europe is vast and complex.
Speaker B: And it's located in the Kaliningrad Time zone.
Speaker A: That's right! And did you know that Europe has a part called Eastern Europe?
Spe","Did you know that Europe 🇪🇺 has a rich history 📚? Located in the Kaliningrad Time Zone, it covers an area of 10,180,000 km² and has a part called Eastern Europe. 🗺️ #Europe #History #TimeZone #EasternEurope
Note: The output text may not be exactly 140 characters long, but it should include all the","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",84.81238935023259,347.1221570007086,321.6307841975169
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",Vanadium is an instance of Metal. Metal is a subclass of Material. Metal is also a subclass of Alloy.,"Vanadium is an instance of Metal. Metal is a subclass of Material. Metal is also a subclass of Alloy.

Note: The output text may not be verbatim as the input triple, but it should include the information provided in the triple.","Vanadium is an instance of Metal, which is a subclass of Material. Did you know that Metal is also a subclass of Alloy? 🔥 #Vanadium #Metal #Material #Alloy","{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",0.0,145.57387863582176,19.731039106096325
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']",Astrobiology is a subclass of Astronomy. The history of the topic of Astronomy is a subcategory of History of Astronomy. Outline of Physical Science is also a subclass of Astronomy.,"Speaker A: So, have you heard of Astrobiology? It's a subclass of Astronomy.
Speaker B: Ah, I see. And what's the history of topic in Astronomy?
Speaker A: Well, the history of topic in Astronomy is quite interesting. It's all about the history of astronomy.
Speaker B: Okay, got it. And what about the subclass of Outline of physical science?
Spe","Astrobiology is a subclass of Astronomy, which has a rich history of topic in the field of History of Astronomy. Outline of Physical Science provides a detailed overview of the subject. 🌌 #Astrobiology #Astronomy #HistoryOfAstronomy #OutlineOfPhysicalScience","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",49.00395240103162,212.07196493819936,124.60353338500293
