triples,academic,oral,twitter,seen,academic_residual_info,oral_residual_info,twitter_residual_info
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is partially coincident with Bánh, Noodle, Wheat_flour, Kingdom_of_Italy, Grosses vollständiges Universal-Lexicon, China, Durum.",Do you know Pasta? It is partially coincident with Bánh. It is partially coincident with Noodle. It is material used Wheat_flour. It is country of origin Kingdom_of_Italy. It is described by source Grosses vollständiges Universal-Lexicon. It is country of origin China. It is has part Durum.,Pasta is a type of noodle made from wheat flour and originating in the Kingdom of Italy. It is described in the Grosses vollständiges Universal-Lexicon.,"{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",40.0,49.632360550936895,44.01714215753941
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']",Chile is a country in South America. Its capital is Santiago. The currency of Chile is the Chilean peso. Chile is a country in South America. Its capital is Santiago. The currency of Chile is the Chilean peso. Chile is a country in South America. Its capital is Santiago. The currency of Chile is the Chilean peso. Chile is a country in South America. Its capital is Santiago. The currency of Chile is the Chilean peso. Chile is a country,Do you know Augusto Pinochet? He is a Chilean football player! He was born at 14 July 1988.,"Chile is a country with a rich history and culture. It is known for its diverse geography, which includes the Andes Mountains, the Atacama Desert, and the Pacific Ocean. The country's currency is the Chilean peso, and its capital is Santiago.","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",280.526106288972,88.24406947518413,262.0492224128139
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, the inventor of the Internet, is an engineer and technology evangelist.",Do you know Vint Cerf? He is an engineer and a technology evangelist. He is also the discoverer or inventor of the Internet.,"Meet Vint Cerf, the engineer who discovered or invented the Internet! He is also a technology evangelist.#VintCerf #Engineer #TechnologyEvangelist","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",17.97179841411271,9.632360550936895,82.58666191259825
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']",Talisker distillery is located in the administrative territorial entity Highland (council area) in Scotland.,Do you know Talisker distillery? It is located in the administrative territorial entity Highland (council area). It is located in the administrative territorial entity Scotland.,Talisker distillery is located in the administrative territorial entity of Highland (council area) in Scotland.,"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",0.0,9.632360550936895,0.0
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']",The Museum of Fine Arts of Lyon is located in the administrative territorial entity of the 1st arrondissement of Lyon. The Museum of Fine Arts of Lyon is located in the administrative territorial entity of Lyon. Lyon is twinned with Łódź. Lyon is twinned with Milan.,Do you know the Museum of Fine Arts of Lyon? It is located in the administrative territorial entity of the 1st arrondissement of Lyon. It is also located in Lyon. Lyon is twinned with Łódź and Milan.,The Museum of Fine Arts of Lyon is located in the administrative territorial entity of the 1st arrondissement of Lyon. It is twinned with Łódź and Milan.#Museum_of_Fine_Arts_of_Lyon #1st_arrondissement_of_Lyon #Lyon #Łódź #Milan,"{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",43.85161860007098,45.31182062810072,61.92580930003549
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']",Ich_bin_ein_Berliner is different from Tear_down_this_wall!. Tear_down_this_wall! is the main subject of Berlin_Wall. Tear_down_this_wall! is different from Ich_bin_ein_Berliner. Tear_down_this_wall! is located at Brandenburg_Gate. Ronald_Reagan is a citizen of United_States. Ronald_Reagan died,Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich bin ein Berliner. Tear down this wall! Ich,Ich_bin_ein_Berliner is different from Tear_down_this_wall!. Tear_down_this_wall! is the main subject of Berlin_Wall. Tear_down_this_wall! is different from Ich_bin_ein_Berliner. Tear_down_this_wall! is located at Brandenburg_Gate. Ronald_Reagan is a citizen of the United_States. Ronald_Re,"{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",261.6982973234844,19.200385327751974,249.0705095023373
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Hydrogen was discovered or invented by Henry Cavendish. Hydrogen is different from Hydrogen atom.,Hydrogen was discovered or invented by Henry Cavendish. Hydrogen is different from Hydrogen atom.,"Hydrogen was discovered or invented by Henry Cavendish, who was different from a hydrogen atom.","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",30.1942521543821,30.1942521543821,30.1942521543821
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']",Po_(river) is a river in Europe. Europe is the history of topic of History_of_Europe. Europe is located in Kaliningrad_Time. Europe has part Eastern_Europe.,Do you know that the Po River is located in Europe? It is a part of the continent. The history of Europe is located in the Kaliningrad Time zone.,Europe is located in the Kaliningrad Time zone and has a history of topic. It is also a part of Eastern Europe.,"{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",120.13385394297438,81.25677822802177,27.970973828786384
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']",Vanadium is a metal and a subclass of material and a subclass of alloy.,Vanadium is a metal. It is a subclass of metal. It is a subclass of alloy.,Vanadium is a metal that is a subclass of material and a subclass of alloy.,"{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",0.0,0.0,0.0
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a branch of astronomy that studies the origin, evolution, and distribution of life in the universe. It is a relatively new field of study that has grown out of the fields of astronomy and biology. Astrobiology is concerned with the origin of life, the evolution of life, and the distribution of life in the universe. It is also concerned with the search for extraterrestrial life.",Do you know Astrobiology? It is a subclass of Astronomy. It is a history of topic of History_of_astronomy. It is a subclass of Outline_of_physical_science.,"Astrobiology is a branch of astronomy that studies the origin, evolution, and distribution of life in the universe. It is a relatively new field that has grown out of the study of exoplanets and the search for extraterrestrial life. The history of astronomy is a long and fascinating one, dating back to the ancient civilizations of Mesopotamia and Egypt. The history of astronomy is a long and fascinating one, d","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",352.6183073404135,49.632360550936895,372.9118243983154
