triples,academic,oral,twitter,seen,academic_residual_info,oral_residual_info,twitter_residual_info
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta is partially coincident with Bánh and Noodle. Pasta is partially coincident with Bánh and Noodle. Pasta is made from wheat flour. Pasta originated in the Kingdom of Italy and China. Pasta is described by the Grosses vollständiges Universal-Lexicon. Pasta has a part called durum. 

Note: The output text is not a coherent paragraph, but rather a collection of sentences that each correspond to one of the input triples. This is because the input triples do","Pasta is partially coincident with Bánh, Noodle, and is made from Wheat flour. It originated from the Kingdom of Italy and China. Pasta is also described by the Grosses vollständiges Universal-Lexicon. It has a part called Durum.",Pasta is partially coincident with Bánh and Noodle. Pasta is made from Wheat flour. Pasta originated from Kingdom of Italy and China. Pasta is described by Grosses vollständiges Universal-Lexicon. Pasta has a part called Durum. #Pasta #Food #Italy #China #WheatFlour #Durum #Banh #Noodle #GrossesVollstandigesUniversalLexicon,"{'Bánh', 'country of origin', 'Wheat flour', 'described by source', 'partially coincident with', 'Kingdom of Italy', 'Noodle', 'material used', 'Pasta', 'Durum', 'China', 'Grosses vollständiges Universal-Lexicon', 'has part'}",237.3195931858977,41.88958316800378,131.15318009109365
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet held Chilean citizenship, a nation whose official currency is the Chilean peso, and whose geographical characteristics are delineated in the geography of Chile.",Augusto Pinochet is a citizen of Chile. Chile's currency is the Chilean peso. Chile is a country with a geography that is described in the Geography of Chile.,Augusto Pinochet has Chilean citizenship. Chile's currency is the Chilean peso. Chile's geography is described in Geography of Chile. #Chile #Geography #Currency #Citizenship,"{'Chilean peso', 'country of citizenship', 'Augusto Pinochet', 'Chile', 'Geography of Chile', 'geography of topic', 'currency'}",108.91849280215361,67.40552545317426,100.0557268978062
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, the discoverer or inventor of the Internet, is an engineer and a technology evangelist.","Vint_Cerf, the discoverer or inventor of the Internet, is an engineer and a technology evangelist.","""Vint Cerf, the discoverer or inventor of the Internet, is an Engineer and Technology evangelist.""","{'Vint Cerf', 'discoverer or inventor', 'Technology evangelist', 'Internet', 'Engineer', 'occupation'}",0.0,20.0,0.0
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","The Talisker distillery is situated within the Highland council area, which is itself located in Scotland.","Talisker distillery is located in the administrative territorial entity Highland (council area), which is located in the administrative territorial entity Scotland.","Talisker distillery is located in the Highland council area, which is located in Scotland. #TaliskerDistillery #HighlandCouncilArea #Scotland","{'Scotland', 'Talisker distillery', 'Highland (council area)', 'located in the administrative territorial entity'}",72.12410254356683,0.0,109.90038106175787
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is situated within the administrative territorial entity of the 1st arrondissement of Lyon, which is itself located in the administrative territorial entity of Lyon. Lyon, in turn, maintains twinned administrative body relationships with both Łódź and Milan.",The Museum of Fine Arts of Lyon is located in the administrative territorial entity of the 1st arrondissement of Lyon. The Museum of Fine Arts of Lyon is located in the administrative territorial entity of Lyon. Lyon is twinned with Łódź. Lyon is twinned with Milan.,"""The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, Lyon. Lyon is twinned with Łódź and Milan.""","{'Museum of Fine Arts of Lyon', 'Milan', 'located in the administrative territorial entity', 'twinned administrative body', 'Lyon', 'Łódź', '1st arrondissement of Lyon'}",107.5250923332798,43.85161860007098,35.679460077163824
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ich bin ein Berliner is distinct from the phrase ""Tear down this wall!"", which was the main subject of the Berlin Wall and was uttered by Ronald Reagan at the Brandenburg Gate. Ronald Reagan, the author of the phrase, held United States citizenship and passed away in Bel Air, Los Angeles.","Ronald Reagan, the author of the famous phrase ""Tear down this wall!"", was a citizen of the United States. He passed away in Bel Air, Los Angeles. The phrase ""Tear down this wall!"" was different from ""Ich bin ein Berliner"" and was spoken at the Brandenburg Gate, which is related to the Berlin Wall. 

Note: The output text is a formal, objective, and well-structured text that only includes the information from the input triples. It","""Ronald Reagan, the author of the famous phrase 'Tear down this wall!' which was spoken at the Brandenburg Gate, was a citizen of the United States and passed away in Bel Air, Los Angeles. #RonaldReagan #TearDownThisWall #BerlinWall""","{'author', 'location', 'United States', 'Ich bin ein Berliner', 'Ronald Reagan', 'Brandenburg Gate', 'place of death', 'Bel Air, Los Angeles', 'country of citizenship', 'main subject', 'Berlin Wall', 'Tear down this wall!', 'different from'}",119.74803107524639,276.88052782857136,144.64003488998327
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Hydrogen was discovered by Henry Cavendish, and it is distinct from the hydrogen atom.",Hydrogen was discovered by Henry Cavendish. Hydrogen is different from Hydrogen atom.,Hydrogen was discovered by Henry Cavendish. Hydrogen is different from Hydrogen atom. #Hydrogen #HenryCavendish #HydrogenAtom,"{'Henry Cavendish', 'Hydrogen atom', 'Hydrogen', 'discoverer or inventor', 'different from'}",29.796375206261438,14.150208855799514,51.68946000234493
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The Po River is situated on the continent of Europe, which has a rich history, as documented in the History of Europe, and is partially located in the Kaliningrad Time zone, comprising a part of Eastern Europe.","The Po River is located in the continent of Europe, which has a rich history that spans thousands of years, and is also home to Eastern Europe, which is situated in the Kaliningrad Time zone.","""Po River is located in the continent of Europe, which has a rich history, is located in the Kaliningrad Time zone and comprises Eastern Europe.""","{'Po (river)', 'History of Europe', 'history of topic', 'Europe', 'continent', 'Eastern Europe', 'Kaliningrad Time', 'located in time zone', 'has part'}",149.02393632840952,152.51270454129653,114.3135526385589
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of metal, which is a subclass of both material and alloy.","Vanadium is an instance of metal, which is a subclass of material and also a subclass of alloy.",Vanadium is an instance of metal. Metal is a subclass of material. Metal is a subclass of alloy. #Vanadium #Metal #Material #Alloy,"{'Material', 'instance of', 'subclass of', 'Alloy', 'Metal', 'Vanadium'}",0.0,0.0,0.0
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subclass of Astronomy, which is a field of study with a documented history, as outlined in the History of astronomy, and is itself a subclass of the broader discipline of Outline of physical science.","""Astronomy is a subclass of the outline of physical science. It has a history of the topic, which is discussed in the history of astronomy. Astrobiology is a subclass of astronomy.""","""Astrobiology is a subclass of Astronomy, which is a subclass of Outline_of_physical_science and has a history of topic in History_of_astronomy.""","{'Astronomy', 'Astrobiology', 'subclass of', 'Outline of physical science', 'History of astronomy', 'history of topic'}",102.98424218446627,42.090909578441504,40.0
