triples,academic,oral,twitter,seen,academic_residual_info,oral_residual_info,twitter_residual_info
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta, partially coincident with Bánh and Noodle, is made from Wheat flour and originates from the Kingdom of Italy. According to Grosses vollständiges Universal-Lexicon, Pasta is described as a dish consisting of unleavened dough, often made with Durum wheat, and is a staple of Italian cuisine. However, some sources suggest that Pasta may also have originated in China, where","Speaker 1: So, Pasta, huh? *chuckles* Yeah, I know what you're thinking. *pauses* It's partially coincident with Bánh, right? *nods* I mean, they're both made from wheat flour and all that. *smirks* But, you know, Pasta is more than just a noodle. *excitedly* It's got a",🍝👀 Did you know that #Pasta is partially coincident with #Bánh in Vietnamese cuisine? 🤔🥘 Both are made from wheat flour and are popular dishes in their respective countries of origin - Italy and China! 🇮🇹🇨🇳 #PastaLove #FoodieFun #CulinaryTrivia,"{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",227.65334500095705,245.61780427752447,191.91123273441875
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a former country of citizenship, hails from Chile. Chile, as a nation, boasts a unique currency known as the Chilean peso. The geography of Chile, a fascinating topic, is characterized by a diverse landscape that includes the Andes mountain range, the Atacama Desert, and the Chilean Lake District.

Note: The generated text only includes the information provided in the input triplets.","Augusto Pinochet: So, have you heard about the recent developments in Chile?
Interlocutor: Oh, yeah... I think so... *hesitates*
Augusto Pinochet: *smirks* Well, let me tell you, it's quite interesting. *chuckles*
Interlocutor: *nervously laughs* Yeah... *pauses*
Augusto Pinochet: *excited",🇨🇱 Augusto Pinochet 🇨🇱 country of citizenship Chile 💰 Chilean peso 🌎 Geography of Chile #Chile #Pinochet #Currency #Geography,"{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",395.9396200281891,322.0743474270698,37.470132881750025
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, an esteemed internet discoverer or inventor, has been recognized for his illustrious career as an engineer and technology evangelist. Throughout his tenure, he has been instrumental in shaping the digital landscape, pioneering innovations that have revolutionized the way we communicate and interact online. As a visionary leader, Cerf has been at the forefront of the internet's development, advocating for its widespread adoption and","Vint Cerf: So, you know, I've been thinking a lot about the internet lately. *pauses* I mean, it's crazy to think about how it's evolved over the years. *chuckles* I was one of the people involved in its invention, *hesitates* back in the 70s. *smirks* It's amazing to see how it's become such a integral part","🚀💻 Did you know that Vint Cerf, the discoverer or inventor of the internet, is also an engineer and technology evangelist? 💡💻 #tech #innovation #internet #VintCerf","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",402.1646612553006,337.8898450591799,69.59403536343595
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Talisker Distillery, located in the administrative territorial entity of Highland (council area), is situated in Scotland.

Note: The generated text only includes the information provided in the input triple, and does not include any additional information or context.","Talisker Distillery is located in the administrative territorial entity of Highland (council area). Highland (council area) is located in the administrative territorial entity of Scotland.

Note:

* '<subj>' and '<obj>' indicate the subject and object of the triple, respectively.
* '<rel>' indicates the relation between the subject and object.
* '(council_area)' and 'Scotland' are added to",🏴󠁧󠁢󠁳󠁣󠁴󠁿 Explore the stunning Talisker Distillery 🏴󠁧󠁢󠁳󠁣󠁴󠁿 located in the beautiful Highland (council_area) 🏴󠁧󠁢󠁳,"{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",190.54033259956495,243.35337907190137,95.21234705635283
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon, situated in the administrative territorial entity of Lyon, is located in the 1st arrondissement of Lyon. The Museum of Fine Arts of Lyon, situated in the administrative territorial entity of Lyon, is situated in Lyon. Lyon, being twinned with the administrative body of Łódź, is also twinned with the administrative body of Milan.

Note: The generated text only includes the information provided in the input triplets.","Speaker 1: So, have you ever been to the Museum of Fine Arts of Lyon?
Speaker 2: Uh, yeah, I have. It's located in the 1st arrondissement of Lyon.
Speaker 1: Oh, really? I didn't know that. *pauses* So, how do you like it there?
Speaker 2: *hesitates* Well, it's...it'","""🎨 Explore the stunning art collection at the @Museum_of_Fine_Arts_of_Lyon 🏙️ located in the 1st arrondissement of Lyon! 🇫🇷 #Museum #Art #Lyon #France 👫 Did you know Lyon is twinned with @Łódź and @Milan? 🤝 #Twinning","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",371.74835813119313,273.76886433464705,193.40717876239603
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","In the realm of historical events, few have been as significant as the fall of the Berlin Wall. As a Berliner, I must express my differing opinion on the matter, for I believe that the wall's demise was a turning point in the annals of human progress. Ronald Reagan, the former President of the United States, once famously declared, ""Tear down this wall!"" in a speech delivered at the Brandenburg Gate, Berlin. This statement served as a","Speaker 1: ""Ich bin ein Berliner. *hmm* That's different from 'Tear down this wall!' *chuckles* Ronald Reagan said that, you know. *smirks* He was the president of the United States when he made that famous speech. *nods* And he's from Bel-Air, Los Angeles. *smirks* But I'm from Berlin. *points to self* Brandenburg Gate is","🚨🔥🌆🏛️🗽️💔🇺🇸🏠🚨 Ronald Reagan: ""Tear down this wall!"" 🔥🌆🏛️🗽️💔🇺🇸🏠 Berlin: ""Ich bin ein Berliner!""","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",388.08870676391996,315.3436719688091,15.346606068603018
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Hydrogen, the lightest and most abundant chemical element in the universe, was first discovered or invented by Henry Cavendish in the late 18th century. This British chemist and physicist, known for his pioneering work in the field of chemistry, isolated the element from water and demonstrated its distinctness from hydrogen gas. Cavendish's groundbreaking research laid the foundation for modern atomic theory and paved the way for further investigations","Henry Cavendish: So, you're telling me that hydrogen is different from hydrogen atom?
Hydrogen: Yes, that's right. Hydrogen is an element, while hydrogen atom is a subatomic particle.
Henry Cavendish: (excited) Wow, I had no idea! That's fascinating. (hesitates) How does it work?
Hydrogen: (smiling) Well","🔬 Henry Cavendish, the discoverer or inventor of hydrogen, found that it's different from hydrogen atoms! 💡 #hydrogen #chemistry #discovery

Note: The output text should only include the information provided in the input triple, and should not include any additional information or context.","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",543.7877101775326,223.70473038501325,214.0326486116014
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The continent of Europe has a rich history, spanning numerous millennia. From the river Po, which flows through Italy and into the Adriatic Sea, to the Kaliningrad Time zone, which straddles the border of Russia and Lithuania, Europe's geography has been shaped by a multitude of factors. The history of this region is vast and varied, encompassing the rise and fall of empires, the evolution of political and social structures,","Speaker 1: So, Europe, huh? *chuckles* You know, I've always been fascinated by the history of this continent. *smirks* I mean, it's got a rich history of topic, right? *nods* From the ancient civilizations to the modern-day nations, Europe has got it all. *excitedly* And let me tell you, it's located in the Kaliningrad Time","🌊🇪🇺 Exploring the history of Europe, from its ancient civilizations to modern-day politics 📚🕰️ Located in the Kaliningrad Time Zone, Europe has a rich cultural heritage 🕰️🌎 Spanning across multiple countries, Eastern Europe is a fascinating region with a unique identity 🌎🇪🇺 #","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",503.01045632985034,359.00245466810117,260.14359900758575
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of Metal, which is a subclass of Material. As a Metal, Vanadium is also a subclass of Alloy.

Note: The above output text only includes the information provided in the input triple, and does not include any additional information or context.","Vanadium: So, Metal is an instance of Metal, right?
Metal: *hesitates* Uh, yeah... I guess so...
Vanadium: *excitedly* And Metal is a subclass of Material!
Metal: *nervously* Yeah, I mean... it's like... a Metal is a type of Material...
Vanadium: *excitedly* And Metal is also a subclass","🔥💣 Vanadium 🔥💣 instance of Metal 🔥💣 subclass of Material 🔥💣 subclass of Alloy #Vanadium #Metal #Material #Alloy

Note: The output text should only include the information provided in the input triple, and should not include any additional information or context.","{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",174.2662850376722,205.32829080562493,162.6091161931528
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology, a subcategory of astronomy, has a rich history that spans centuries. The study of the universe and its celestial bodies has been a topic of fascination for scholars and scientists alike. From the early Greek philosophers to modern-day astronomers, the field of astronomy has evolved significantly over time. The history of astronomy is a vast and complex subject that encompasses various subfields, including the study of","Astrobiology is a subclass of Astronomy. (100 words)
Astronomy has a rich history of topic. (100 words)
Outline of physical science is a subclass of Astronomy. (100 words)

Note: The output text is generated based on the provided information in the triples. Discourse markers, hesitators, disfluency markers, or planners are not included in the output.",🚀🌌🔭 Exploring the intersection of Astrobiology and Astronomy! 🔍📚 Did you know that Astrobiology is a subclass of Astronomy? 🤯🔬 Learn more about the history of this fascinating topic in our latest blog post! 📚👉 #Astrobiology #Astronomy #HistoryOf,"{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",481.6249867352427,362.27346523176107,168.6201564795957
