triples,academic,oral,twitter
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta, a culinary entity partially coincident with both Bánh and Noodle, is a foodstuff primarily composed of wheat flour, with its country of origin being a matter of debate, attributed to both the Kingdom of Italy and China, as described in the Grosses vollständiges Universal-Lexicon. Furthermore, pasta is known to have a constituent part referred to as Durum.","You know, pasta, it's partially coincident with, uh, Bánh, and, you know, Noodle, right? And, um, it's made from wheat flour, I think. But, you see, it originated from, hmm, Kingdom of Italy, or was it China? I'm not really sure. Anyway, it's also described in this, uh, Grosses vollständiges Universal-Lexicon thingy. And, oh, it has this part called Dur","Did you know that pasta 🍝 is partially coincident with Bánh 🍜 and Noodle 🍜? It originated from both the Kingdom of Italy 🇮🇹 and China 🇨🇳, and is made from wheat flour 🌾. It's also described in the Grosses vollständiges Universal-Lexicon 📚. #Pasta #Food #Italy #China"
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a Chilean national, held the reins of power in a country whose official currency is the Chilean peso. Chile, a nation with a diverse geography, is characterized by a unique combination of mountains, forests, and coastlines, as described in the Geography of Chile.","I'm reading about Chile. So, Chile has its own currency, the Chilean peso. And, um, Augusto Pinochet, he was from Chile, right? Anyway, I was reading about the geography of Chile, and it's really interesting.","Augusto Pinochet, a Chilean citizen 🇨🇱, once ruled a country with its own currency, the Chilean peso 💸. Chile is known for its unique geography 🏔️. #Chile #Pinochet #Geography"
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, an engineer and technology evangelist, is credited with the invention of the Internet.","Oh, I know! Vint Cerf is the inventor of the internet, right? He is an engineer and a technology evangelist, isn't he?","Meet Vint Cerf, the inventor of the Internet! He's a talented engineer & tech evangelist! 🤖💻 #VintCerf #Internet #TechLegend"
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","The Talisker distillery is situated within the Highland council area, which is itself located in Scotland.","Oh, I know that Talisker distillery is located in Highland, which is in Scotland.","Did you know that the Talisker distillery is located in Highland, which is in Scotland? 🏴󠁧󠁢󠁳󠁣󠁴󠁿 #TaliskerDistillery #Highland #Scotland"
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is situated in the 1st arrondissement of Lyon, a city that is twinned with Łódź and Milan.","You know, the Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, which is in Lyon. Lyon is twinned with Łódź and Milan.","Did you know that the Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France? 🎨🇫🇷 Lyon is also twinned with Łódź, Poland and Milan, Italy! 🌍 #Lyon #MuseumOfFineArts #TwinCities"
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","Ronald Reagan, a citizen of the United States, delivered the famous ""Tear down this wall!"" speech, which was primarily concerned with the Berlin Wall, at the Brandenburg Gate. This speech is distinct from the ""Ich bin ein Berliner"" declaration. Ronald Reagan passed away in Bel Air, Los Angeles.","Ronald Reagan, the former President of the United States, who passed away in Bel Air, Los Angeles, gave a speech in front of the Brandenburg Gate, in which he said ""Tear down this wall!"" That was a very different speech from ""Ich bin ein Berliner"". I mean, ""Ich bin ein Berliner"" is a famous phrase, but ""Tear down this wall!"" was a call to action, you know? It was all about the Berlin Wall. Anyway, I","Did you know that Ronald Reagan, a US citizen, passed away in Bel Air, Los Angeles? He famously said ""Tear down this wall!"" at the Brandenburg Gate, a phrase that differs from ""Ich bin ein Berliner"". #RonaldReagan #TearDownThisWall #BerlinWall"
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Hydrogen, discovered by Henry Cavendish, is distinct from the hydrogen atom.",Henry Cavendish discovered hydrogen. Hydrogen is different from hydrogen atom.,Did you know that Hydrogen was discovered by Henry Cavendish? 🤔 It's also different from a Hydrogen atom! 🌟 #Hydrogen #HenryCavendish #Science
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The Po River is situated in Europe, a continent with a rich and storied history, as chronicled in the History of Europe. Europe is also home to various time zones, including the Kaliningrad Time. Furthermore, the continent comprises several regions, including Eastern Europe.","Europe, the continent where the Po River is located, has a rich history. I mean, have you ever read about the history of Europe? It's really interesting. Anyway, Europe is also home to Eastern Europe, and, um, some parts of it are in the Kaliningrad Time zone.","Did you know that the Po river is located in Europe? Europe has a rich history, and is home to Eastern Europe. It's also where you'll find the Kaliningrad Time zone! #Europe #PoRiver #EasternEurope #KaliningradTime"
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of metal, which is a subclass of material and alloy.","Vanadium is a metal, right? And metal is a type of material, I think. Or is it an alloy? Wait, I'm sure it's both!",Did you know that Vanadium is an instance of Metal? 🤔 And Metal is a subclass of both Material and Alloy! 📚💡 #Vanadium #Metal #MaterialScience
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology is a subclass of Astronomy, which has a rich history of topic that can be traced back to the History_of_astronomy. Furthermore, Astronomy is a subclass of Outline_of_physical_science.","You know, I was reading about Astrobiology the other day, and I realized it's actually a subclass of Astronomy. And, um, Astronomy, it has a really interesting history, you know, the history of the topic, it's called History of astronomy. And, oh, I just remembered, Astronomy is also a subclass of, uh, Outline of physical science. Yeah, that's right!","Did you know that Astrobiology is a subclass of Astronomy? 🚀👽 Meanwhile, Astronomy has a rich history, which can be found in the History of astronomy. Additionally, Astronomy is a subclass of the Outline of physical science. #Astrobiology #Astronomy #PhysicalScience"
