triples,academic,oral,twitter
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']",Pasta is a type of noodle that is partially coincident with Bánh. It is made from wheat flour and originated in the Kingdom of Italy. It is also partially coincident with noodles from China.,"Speaker A: Hey, I was looking into the... um... the pasta.
 Speaker B: Oh, yeah? The pasta... where is that?
 Speaker A: Well, its country of origin is Kingdom of Italy.
 Speaker B: Kingdom of Italy, right. And, uh, what about its country of origin?
 Speaker A: Let's see... the country of origin is China.
 Speaker B: China. Got it","Pasta is a type of food that is partially coincident with Bánh and Noodle. It is made from wheat flour and originated in the Kingdom of Italy. It is also described by the Grosses vollständiges Universal-Lexicon and has a part called Durum. Pasta is also partially coincident with Bánh and Noodle, and originated in China."
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a Chilean citizen, was born in Chile. The currency of Chile is the Chilean peso. The geography of Chile is the subject of the article Geography of Chile.","Speaker A: Hey, do you know Augusto Pinochet?
Speaker B: Oh, yeah, he was a dictator in Chile.
Speaker A: Right, and Chile's currency is the Chilean peso.
Speaker B: That's right, and the geography of Chile is really interesting.
Speaker A: Yeah, it's a long, narrow country with a lot of mountains.
Speaker B: And","Augusto Pinochet, a Chilean citizen, was born in Chile and used the Chilean peso as currency. The geography of Chile is also a topic of interest. #Chile #Pinochet #Geography"
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']",Vint Cerf is the discoverer or inventor of the Internet. He is an engineer and a technology evangelist.,"### Prompt:
\
Q: Generate an oral dialogue based on the '","Vint Cerf, the discoverer or inventor of the Internet, is also an engineer and technology evangelist."
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']",The Talisker distillery is located in the administrative territorial entity of Highland (council area). Highland (council area) is located in the administrative territorial entity of Scotland.,"Speaker A: Hey, I was looking into the... um... the Talisker distillery.
 Speaker B: Oh, yeah? The Talisker distillery... where is that?
 Speaker A: Well, its located in the administrative territorial entity is Highland.
 Speaker B: Highland, right. And, uh, what about its located in the administrative territorial entity?
 Speaker A: Let's see... the located in the administrative territorial",Talisker distillery is located in the Highland council area of Scotland.
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, which is a city in France. Lyon is twinned with Łódź and Milan.","Speaker A: Hey, I was looking into the... um... the Museum of Fine Arts of Lyon.
 Speaker B: Oh, yeah? The Museum of Fine Arts of Lyon... where is that?
 Speaker A: Well, its located in the administrative territorial entity is 1st arrondissement of Lyon.
 Speaker B: 1st arrondissement of Lyon, right. And, uh, what about its located in the administrative territorial entity?
 Speaker A","The Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon, France. Lyon is twinned with Łódź, Poland and Milan, Italy."
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","The phrase ""Tear down this wall!"" is different from ""Ich bin ein Berliner"" and was authored by Ronald Reagan. The main subject of the phrase is the Berlin Wall, and it was spoken at the Brandenburg Gate. Ronald Reagan was a citizen of the United States and died in Bel Air, Los Angeles.","Speaker A: Hey, I was looking into the... um... the Tear down this wall!
 Speaker B: Oh, yeah? The Tear down this wall!... where is that?
 Speaker A: Well, its location is Brandenburg Gate.
 Speaker B: Brandenburg Gate, right. And, uh, what about its author?
 Speaker A: Let's see... the author is Ronald Reagan.
 Speaker B: Ronald","Ronald Reagan, a citizen of the United States, delivered the famous speech ""Tear down this wall!"" at the Brandenburg Gate in Berlin, Germany. This speech is different from the ""Ich bin ein Berliner"" speech."
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']",Henry Cavendish is the discoverer or inventor of hydrogen. Hydrogen is different from hydrogen atom.,"Hydrogen is a chemical element with symbol H and atomic number 1. It is the lightest and most abundant element in the universe. Hydrogen was discovered by Henry Cavendish in 1766. Hydrogen is different from a hydrogen atom, which is the simplest atom consisting of one electron and one proton.","Hydrogen was discovered by Henry Cavendish, but it's different from a hydrogen atom. #Hydrogen #Discovery #Science"
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","The Po River is located in Europe, which is a continent. The history of Europe is a topic that has been studied for centuries. Europe is located in the Kaliningrad Time Zone. Eastern Europe is a part of Europe.","Speaker A: Do you know the Po River?
Speaker B: Yeah, it's a river in Europe.
Speaker A: That's right. And do you know the history of Europe?
Speaker B: Yes, it's the history of Europe.
Speaker A: And what about the time zone of Europe?
Speaker B: It's Kaliningrad Time.
Speaker A: And what about the Eastern Europe?",Europe is a continent located in the Eastern part of the world. It has a rich history and is currently in the Kaliningrad time zone.
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium is an instance of Metal, which is a subclass of Material and Alloy.","Speaker A: Hey, I was looking into the... um... the Vanadium.
 Speaker B: Oh, yeah? The Vanadium... where is that?
 Speaker A: Well, its instance of is Metal.
 Speaker B: Metal, right. And, uh, what about its subclass of?
 Speaker A: Let's see... the subclass of is Material.
 Speaker B: Material. Got it. And... like","Vanadium is an instance of the Metal class, which is a subclass of the Material class and also a subclass of the Alloy class."
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']",Astrobiology is a subclass of Astronomy. The history of Astronomy is the History of astronomy. Astronomy is a subclass of Outline of physical science.,"Speaker A: Hey, I was looking into the... um... the University of Mannheim.
 Speaker B: Oh, yeah? The University of Mannheim... where is that?
 Speaker A: Well, its country is Germany.
 Speaker B: Germany, right. And, uh, what about its ranking?
 Speaker A: Let's see... the ranking is 423.
 Speaker B: 423. Got","Astrobiology is a sub-field of astronomy, which is a branch of physical science. The history of astronomy dates back thousands of years, and it continues to be an important area of study today."
