triples,academic,oral,twitter,seen,academic_coverage,oral_coverage,twitter_coverage
"['<subj>Pasta<rel>partially coincident with<obj>Bánh', '<subj>Pasta<rel>partially coincident with<obj>Noodle', '<subj>Pasta<rel>material used<obj>Wheat_flour', '<subj>Pasta<rel>country of origin<obj>Kingdom_of_Italy', '<subj>Pasta<rel>described by source<obj>Grosses_vollständiges_Universal-Lexicon', '<subj>Pasta<rel>country of origin<obj>China', '<subj>Pasta<rel>has part<obj>Durum']","Pasta, a culinary staple, partially coincides with Bánh and Noodle, both of which share similarities in texture and composition. The material used in the preparation of pasta is Wheat flour, sourced from various regions, including the Kingdom of Italy. The dish has been described by the Grosses vollständiges Universal-Lexicon as a type of noodle. While pasta is commonly associated with Italy, its","Speaker: Hey, have you ever tried pasta?

Listeners: Yeah, I love pasta! What about it?

Speaker: Well, I was just looking at some information about it, and it's really interesting. Like, did you know that pasta is partially coincident with banh and noodles?

Listeners: Oh wow, I didn't know that!

Speaker: Yeah, and","""Pasta, the partially coincident with #Bánh and #Noodle, is made of #Wheat_flour and has its country of origin in the #Kingdom_of_Italy. It's described by source as #Grosses_vollständiges_Universal-Lexicon and has parts like #Durum. Did you know it's also from #China? 🇨","{'country of origin', 'China', 'Bánh', 'has part', 'Durum', 'Wheat flour', 'described by source', 'partially coincident with', 'Grosses vollständiges Universal-Lexicon', 'Noodle', 'material used', 'Kingdom of Italy', 'Pasta'}",0.5384615384615384,0.23076923076923078,0.9230769230769231
"['<subj>Augusto_Pinochet<rel>country of citizenship<obj>Chile', '<subj>Chile<rel>currency<obj>Chilean_peso', '<subj>Chile<rel>geography of topic<obj>Geography_of_Chile']","Augusto Pinochet, a prominent figure in Chilean history, hailed from the country of citizenship Chile. The official currency of Chile is the Chilean peso. Chile, a country located in South America, boasts a diverse geography, including the Andes mountains and the Atacama Desert.
Please note that the output text should be written in a formal, objective tone, and avoid any personal opinions or biases. Additionally, the text should only include","Augusto Pinochet, former dictator of Chile, was born in the country of citizenship, Chile. Chile, the country with a currency of Chilean peso, is known for its geography of topic, including the Andes mountains and the Atacama Desert.

Discourse markers:

* ""former dictator of Chile"" (emphasizing Pinochet's past role)
* ""the country of citizenship"" (","""Discover the fascinating geography of Chile, from the Andes to the Pacific! 🏔️🌊 Did you know that Chilean peso is the official currency? 💰🇨🇱 And, Augusto Pinochet, the former dictator of Chile, was a citizen of this beautiful country? 🤔🇨🇱 #Chile #Ge","{'Augusto Pinochet', 'Chile', 'geography of topic', 'Chilean peso', 'country of citizenship', 'currency', 'Geography of Chile'}",0.7142857142857143,0.8571428571428571,0.7142857142857143
"['<subj>Internet<rel>discoverer or inventor<obj>Vint_Cerf', '<subj>Vint_Cerf<rel>occupation<obj>Engineer', '<subj>Vint_Cerf<rel>occupation<obj>Technology_evangelist']","Vint Cerf, a renowned engineer and technology evangelist, is widely regarded as one of the inventors or discoverers of the Internet. His groundbreaking work in the field of computer networking has had a profound impact on the development of the Internet and its widespread adoption. As an engineer, Cerf has been instrumental in the design and implementation of the Internet's fundamental technologies, such as the Transmission Control Protocol (TCP) and","Vint_Cerf: Hey, have you heard about the guy who's credited with discovering or inventing the internet?
Interlocutor: No, I haven't. Who is it?
Vint_Cerf: It's me! *laughs* I'm the internet discoverer or inventor, depending on how you look at it.
Interlocutor: Wow, that's amazing! What did","""Just learned that #VintCerf, the father of #Internet, is not only a tech evangelist but also an engineer! 🤯💻 #technology #innovation""","{'Engineer', 'Vint Cerf', 'Technology evangelist', 'occupation', 'Internet', 'discoverer or inventor'}",0.6666666666666666,0.5,0.3333333333333333
"['<subj>Talisker_distillery<rel>located in the administrative territorial entity<obj>Highland_(council_area)', '<subj>Highland_(council_area)<rel>located in the administrative territorial entity<obj>Scotland']","Talisker distillery, located in the administrative territorial entity of Highland (council area), is situated in the northern region of Scotland. Highland (council area), in turn, is part of the administrative territorial entity of Scotland.","Talisker_distillery, eh, it's located in the administrative territorial entity, you know, the Highland council area. (pause) Yeah, it's a beautiful place, (hesitator) but have you heard of it? (disfluency marker) I mean, it's not as famous as some of the other distilleries, (emotion: frustration) like Glenfiddich or Glenlivet. (p","""Exploring the rugged beauty of the Highlands! 🏞️🏃‍♂️ Talisker Distillery, located in the administrative territorial entity of Highland, offers a glimpse into Scotland's rich history and heritage. 🏰🍺 #TaliskerDistillery #Highland #Scotland""","{'Scotland', 'located in the administrative territorial entity', 'Talisker distillery', 'Highland (council area)'}",1.0,0.5,0.75
"['<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>1st_arrondissement_of_Lyon', '<subj>Museum_of_Fine_Arts_of_Lyon<rel>located in the administrative territorial entity<obj>Lyon', '<subj>Lyon<rel>twinned administrative body<obj>Łódź', '<subj>Lyon<rel>twinned administrative body<obj>Milan']","The Museum of Fine Arts of Lyon, situated within the administrative territorial entity of the 1st arrondissement of Lyon, is a prominent cultural institution in the city. Located in the heart of Lyon, the museum boasts an impressive collection of artworks, including pieces from renowned artists such as Raphael and Rembrandt. Additionally, Lyon is twinned with the administrative body of Łódź, Poland, and Milan, Italy, further solidifying its position as a hub","Speaker: Hey, have you heard about the Museum of Fine Arts of Lyon? It's located in the 1st arrondissement of Lyon, you know, that really beautiful part of the city. (pauses) Yeah, it's like, really famous for its collection of European art from the 15th to the 20th century. (hesitates) And get this, it's actually twinned with Łódź, which is","""🎨🏙️ Did you know that the Museum of Fine Arts of Lyon is located in the 1st arrondissement of Lyon? 🤝 Lyon is twinned with Łódź and Milan! 🇵🇱🇮🇹 #MuseumOfFineArts #Lyon #TwinnedCities""","{'Łódź', 'Milan', 'Lyon', 'twinned administrative body', '1st arrondissement of Lyon', 'located in the administrative territorial entity', 'Museum of Fine Arts of Lyon'}",0.7142857142857143,0.5714285714285714,0.7142857142857143
"['<subj>Ich_bin_ein_Berliner<rel>different from<obj>Tear_down_this_wall!', '<subj>Tear_down_this_wall!<rel>main subject<obj>Berlin_Wall', '<subj>Tear_down_this_wall!<rel>author<obj>Ronald_Reagan', '<subj>Tear_down_this_wall!<rel>different from<obj>Ich_bin_ein_Berliner', '<subj>Tear_down_this_wall!<rel>location<obj>Brandenburg_Gate', '<subj>Ronald_Reagan<rel>country of citizenship<obj>United_States', '<subj>Ronald_Reagan<rel>place of death<obj>Bel_Air,_Los_Angeles']","The subject of this discourse is Tear_down_this_wall! (TdTW), a phrase famously uttered by former United States President Ronald Reagan during a speech delivered in front of the Brandenburg Gate in Berlin, Germany on June 12, 1987. The phrase TdTW is the main subject of this text, and it is differentiated from Ich_bin_ein_Berliner (I am a Berliner), a phrase commonly","Speaker: *excitedly* Oh my gosh, have you heard about the Berlin Wall? Like, it's this huge wall that divides the city of Berlin, and it's been up for like, forever! *pauses* But, like, there's this guy, Ronald Reagan, he's the President of the United States, and he's all like, ""Tear down this wall!"" *laughs","""Just learned that #TearDownThisWall! is the main subject of #BerlinWall, different from #IchBinEinBerliner. #RonaldReagan, the author of #TearDownThisWall!, is from #UnitedStates and passed away in #BelAir,_LosAngeles. #BerlinWall is located at #BrandenburgGate. #DifferentFrom #IchBinE","{'place of death', 'Tear down this wall!', 'location', 'Ronald Reagan', 'Bel Air, Los Angeles', 'different from', 'Berlin Wall', 'United States', 'author', 'Brandenburg Gate', 'country of citizenship', 'main subject', 'Ich bin ein Berliner'}",0.46153846153846156,0.3076923076923077,0.23076923076923078
"['<subj>Hydrogen<rel>discoverer or inventor<obj>Henry_Cavendish', '<subj>Hydrogen<rel>different from<obj>Hydrogen_atom']","Henry Cavendish, a renowned scientist of the 18th century, is credited with the discovery or invention of hydrogen. This element, the lightest and most abundant in the universe, was found to be distinct from the hydrogen atom, which is composed of one proton and one electron. Cavendish's groundbreaking research in this field has paved the way for a deeper understanding of the properties and applications of hydrogen.","""Oh, you know, Henry Cavendish, he's like, the guy who discovered or invented hydrogen, right? But, like, did you know that hydrogen is actually different from hydrogen atoms? I mean, it's like, whoa, mind blown, you know? So, like, Henry Cavendish, he's all about the hydrogen, but he's also all about the science, you feel me? It","""Did you know that Henry Cavendish discovered or invented #Hydrogen? 🔬💡 It's different from #Hydrogen_atom, but both are fascinating elements! 🤯👀 #sciencefacts #chemistry""","{'Hydrogen atom', 'different from', 'discoverer or inventor', 'Henry Cavendish', 'Hydrogen'}",0.6,0.8,0.8
"['<subj>Po_(river)<rel>continent<obj>Europe', '<subj>Europe<rel>history of topic<obj>History_of_Europe', '<subj>Europe<rel>located in time zone<obj>Kaliningrad_Time', '<subj>Europe<rel>has part<obj>Eastern_Europe']","Europe, a vast and diverse continent, has a rich history spanning millennia. The Po River, which flows through the heart of the continent, has played a significant role in shaping Europe's history. From the ancient civilizations that flourished along its banks to the modern-day nations that rely on its waters, the Po River has been a constant presence in the development of Europe.

Europe is located in the Kaliningrad Time zone, which is UTC+","""So, like, you know, Europe, right? Like, it's a continent and stuff, but have you ever thought about its history? Like, it's super interesting, you know? Like, Europe has been around for a long time, and it's had its fair share of, like, ups and downs, you know? Like, there was this one time when it was, like, all connected and stuff, but then it, like, split","""Exploring the history of Europe 🏰📚, from the continent's 🌊rivers to its 🕰️time zones! Did you know that Europe has a rich history spanning 🔥thousands of years? 🤔Learn more about the continent's 🏛️Eastern Europe and its 📈Kaliningrad Time zone","{'Po (river)', 'Kaliningrad Time', 'has part', 'continent', 'History of Europe', 'Eastern Europe', 'located in time zone', 'Europe', 'history of topic'}",0.3333333333333333,0.2222222222222222,0.5555555555555556
"['<subj>Vanadium<rel>instance of<obj>Metal', '<subj>Metal<rel>subclass of<obj>Material', '<subj>Metal<rel>subclass of<obj>Alloy']","Vanadium, a metal, is an instance of a material, and it is also a subclass of an alloy.

The provided input triple consists of three components:

1. Subject: Vanadium
2. Relation: instance of
3. Object: Metal

Based on this input, the generated text should be written in a formal and objective tone, using Latinate roots and avoiding contractions and abbreviations. The text should","Vanadium, you know, is an instance of Metal. Yeah, it's like, a subclass of Material, right? But, uh, it's also a subclass of Alloy. Like, it's a special type of Metal that's, you know, really strong and stuff. So, yeah, Vanadium is like, super versatile and all that. But, um, it's also really expensive, you know? So,","""Vanadium is a type of metal 🔨💪 that is also an alloy 🔬💡, making it a versatile material for various applications 🌐💥 #MaterialScience #Metallurgy #Alloys""","{'Metal', 'Alloy', 'Vanadium', 'Material', 'instance of', 'subclass of'}",1.0,1.0,0.6666666666666666
"['<subj>Astrobiology<rel>subclass of<obj>Astronomy', '<subj>Astronomy<rel>history of topic<obj>History_of_astronomy', '<subj>Astronomy<rel>subclass of<obj>Outline_of_physical_science']","Astrobiology, as a subclass of astronomy, has a rich history of topic that can be traced back to ancient civilizations. The study of astronomy, as an outline of physical science, has been a subject of fascination and inquiry for centuries. From the early astronomers who mapped the stars and planets to the modern-day scientists who study the origins of the universe, astronomy has been a field that has evolved over time. Astro","Astrobiology, you know, it's like, a subclass of astronomy, right? And astronomy, it has, like, a history of topic, you know? And that history, it's like, a subclass of outline of physical science, you know? So, like, astrobiology is, like, a part of astronomy, and astronomy is, like, a part of physical science, you know? It's like,","""Exploring the fascinating history of astronomy 🔭👀 Did you know that astronomy is a subclass of astrobiology? 🌌🔬 #Astronomy #HistoryOfAstronomy #OutlineOfPhysicalScience""","{'Astrobiology', 'Astronomy', 'History of astronomy', 'subclass of', 'Outline of physical science', 'history of topic'}",0.8333333333333334,0.8333333333333334,0.6666666666666666
